[792, 612]
[section-title, [181.0, 79.0, 229.0, 30.0], Pkbl5dLE-n, 6491666]
[paragraph, [87.0, 159.0, 414.0, 18.0], 51SerUDu6T, 6491666]
[paragraph, [87.0, 177.0, 414.0, 18.0], 51SerUDu6T, 6491666]
[paragraph, [87.0, 195.0, 414.0, 18.0], 51SerUDu6T, 6491666]
[paragraph, [87.0, 213.0, 414.0, 18.0], 51SerUDu6T, 6491666]
[paragraph, [87.0, 231.0, 414.0, 18.0], 51SerUDu6T, 6491666]
[paragraph, [87.0, 249.0, 414.0, 18.0], 51SerUDu6T, 6491666]
[paragraph, [87.0, 267.0, 414.0, 18.0], 51SerUDu6T, 6491666]
[paragraph, [87.0, 285.0, 414.0, 18.0], 51SerUDu6T, 6491666]
[paragraph, [87.0, 303.0, 414.0, 18.0], 51SerUDu6T, 6491666]
[paragraph, [87.0, 321.0, 414.0, 18.0], 51SerUDu6T, 6491666]
[paragraph, [89.0, 360.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 378.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 396.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 414.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 432.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 450.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 468.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 486.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 504.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 522.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 540.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 558.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 576.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [89.0, 594.0, 412.0, 18.0], dJbA7-XB9b, 6491666]
[paragraph, [76.0, 628.0, 432.0, 18.0], s4gH-2Bum9, 6491666]
[paragraph, [76.0, 646.0, 432.0, 18.0], s4gH-2Bum9, 6491666]
[paragraph, [76.0, 664.0, 432.0, 18.0], s4gH-2Bum9, 6491666]
[paragraph, [76.0, 682.0, 432.0, 18.0], s4gH-2Bum9, 6491666]
