[1787, 1218]
[paragraph, [71.0, 88.0, 1084.0, 36.0], oehID9oTsP, 5651306]
[paragraph, [71.0, 124.0, 1084.0, 36.0], oehID9oTsP, 5651306]
[paragraph, [71.0, 160.0, 1084.0, 36.0], oehID9oTsP, 5651306]
[paragraph, [71.0, 196.0, 1084.0, 36.0], oehID9oTsP, 5651306]
[paragraph, [261.0, 264.0, 393.0, 36.0], xX1bWiq5Bt, 5651306]
[paragraph, [261.0, 300.0, 393.0, 36.0], xX1bWiq5Bt, 5651306]
[paragraph, [261.0, 336.0, 393.0, 36.0], xX1bWiq5Bt, 5651306]
[paragraph, [261.0, 372.0, 393.0, 36.0], xX1bWiq5Bt, 5651306]
[paragraph, [261.0, 408.0, 393.0, 36.0], xX1bWiq5Bt, 5651306]
[paragraph, [261.0, 444.0, 393.0, 36.0], xX1bWiq5Bt, 5651306]
[paragraph, [88.0, 535.0, 1062.0, 36.0], tzKFhFpmhy, 5651306]
[paragraph, [88.0, 571.0, 1062.0, 36.0], tzKFhFpmhy, 5651306]
[paragraph, [270.0, 622.0, 641.0, 36.0], mlrXvtyDWQ, 5651306]
[paragraph, [270.0, 658.0, 641.0, 36.0], mlrXvtyDWQ, 5651306]
[paragraph, [98.0, 696.0, 1010.0, 36.0], shoonya_1s4WO0DTQPIHPL, 5651306]
[paragraph, [98.0, 732.0, 1010.0, 36.0], shoonya_1s4WO0DTQPIHPL, 5651306]
[paragraph, [98.0, 768.0, 1010.0, 36.0], shoonya_1s4WO0DTQPIHPL, 5651306]
[paragraph, [98.0, 804.0, 1010.0, 36.0], shoonya_1s4WO0DTQPIHPL, 5651306]
[paragraph, [98.0, 840.0, 1010.0, 36.0], shoonya_1s4WO0DTQPIHPL, 5651306]
[paragraph, [290.0, 906.0, 333.0, 36.0], 1QpPyXZ6nu, 5651306]
[paragraph, [290.0, 942.0, 333.0, 36.0], 1QpPyXZ6nu, 5651306]
[paragraph, [290.0, 978.0, 333.0, 36.0], 1QpPyXZ6nu, 5651306]
[paragraph, [290.0, 1014.0, 333.0, 36.0], 1QpPyXZ6nu, 5651306]
[paragraph, [105.0, 1106.0, 1007.0, 36.0], shoonya_0sON38ER6ZNJ3K, 5651306]
[paragraph, [105.0, 1142.0, 1007.0, 36.0], shoonya_0sON38ER6ZNJ3K, 5651306]
[paragraph, [105.0, 1178.0, 1007.0, 36.0], shoonya_0sON38ER6ZNJ3K, 5651306]
[paragraph, [294.0, 1234.0, 355.0, 36.0], usSXTJjxwW, 5651306]
[paragraph, [294.0, 1270.0, 355.0, 36.0], usSXTJjxwW, 5651306]
[paragraph, [294.0, 1306.0, 355.0, 36.0], usSXTJjxwW, 5651306]
[paragraph, [294.0, 1342.0, 355.0, 36.0], usSXTJjxwW, 5651306]
[paragraph, [294.0, 1378.0, 355.0, 36.0], usSXTJjxwW, 5651306]
[paragraph, [294.0, 1414.0, 355.0, 36.0], usSXTJjxwW, 5651306]
[paragraph, [294.0, 1450.0, 355.0, 36.0], usSXTJjxwW, 5651306]
[paragraph, [294.0, 1486.0, 355.0, 36.0], usSXTJjxwW, 5651306]
[paragraph, [294.0, 1522.0, 355.0, 36.0], usSXTJjxwW, 5651306]
[author, [728.0, 1563.0, 185.0, 36.0], 4XMerdCW5P, 5651306]
[paragraph, [150.0, 1599.0, 982.0, 36.0], pwHV3CaOb0, 5651306]
[footnote, [453.0, 1653.0, 229.0, 36.0], 0h3EPV2nYb, 5651306]
