[831, 612]
[folio, [185.0, 21.0, 203.0, 18.0], AUKCfXCwcY, 6460865]
[folio, [185.0, 39.0, 203.0, 18.0], AUKCfXCwcY, 6460865]
[paragraph, [74.0, 79.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 97.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 115.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 133.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 151.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 169.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 187.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 205.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 223.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 241.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 259.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 277.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 295.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 313.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 331.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 349.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 367.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 385.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 403.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 421.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 439.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 457.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 475.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 493.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 511.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 529.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 547.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 565.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 583.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 601.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 619.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 637.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 655.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 673.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 691.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 709.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 727.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
[paragraph, [74.0, 745.0, 442.0, 18.0], shoonya_0sGUHJ3IBABPRR, 6460865]
