[1818, 1374]
[folio, [490.0, 115.0, 398.0, 36.0], shoonya_3s8JM53F3QTERU, 5682135]
[paragraph, [114.0, 180.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 216.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 252.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 288.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 324.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 360.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 396.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 432.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 468.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 504.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 540.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 576.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 612.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 648.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 684.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 720.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 756.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 792.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 828.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 864.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 900.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 936.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
[paragraph, [114.0, 972.0, 562.0, 36.0], shoonya_1sL6OXF6DXBUR5, 5682135]
