[792, 612]
[folio, [244.0, 44.0, 279.0, 18.0], y1e3MG_zSa, 5744045]
[paragraph, [115.0, 69.0, 409.0, 18.0], shoonya_1sX97EC9EEN476, 5744045]
[paragraph, [115.0, 87.0, 409.0, 18.0], shoonya_1sX97EC9EEN476, 5744045]
[paragraph, [114.0, 119.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 137.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 155.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 173.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 191.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 209.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 227.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 245.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 263.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 281.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 299.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 317.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 335.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 353.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 371.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 389.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 407.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 425.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 443.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 461.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 479.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 497.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [114.0, 515.0, 408.0, 18.0], Mvvs5UjDix, 5744045]
[paragraph, [116.0, 555.0, 407.0, 18.0], shoonya_0s1ROWZM3IRUSV, 5744045]
[paragraph, [116.0, 573.0, 407.0, 18.0], shoonya_0s1ROWZM3IRUSV, 5744045]
[paragraph, [116.0, 591.0, 407.0, 18.0], shoonya_0s1ROWZM3IRUSV, 5744045]
[paragraph, [116.0, 609.0, 407.0, 18.0], shoonya_0s1ROWZM3IRUSV, 5744045]
[paragraph, [116.0, 627.0, 407.0, 18.0], shoonya_0s1ROWZM3IRUSV, 5744045]
[paragraph, [116.0, 645.0, 407.0, 18.0], shoonya_0s1ROWZM3IRUSV, 5744045]
[paragraph, [116.0, 663.0, 407.0, 18.0], shoonya_0s1ROWZM3IRUSV, 5744045]
