[2250, 1750]
[paragraph, [94.0, 97.0, 707.0, 36.0], shoonya_0s9291CX9KUDXI, 5753118]
[paragraph, [94.0, 133.0, 707.0, 36.0], shoonya_0s9291CX9KUDXI, 5753118]
[paragraph, [892.0, 98.0, 704.0, 36.0], F69eMpEnNl, 5753118]
[paragraph, [892.0, 134.0, 704.0, 36.0], F69eMpEnNl, 5753118]
[paragraph, [89.0, 190.0, 708.0, 36.0], W_vsDhMu9B, 5753118]
[paragraph, [89.0, 226.0, 708.0, 36.0], W_vsDhMu9B, 5753118]
[paragraph, [89.0, 262.0, 708.0, 36.0], W_vsDhMu9B, 5753118]
[paragraph, [89.0, 298.0, 708.0, 36.0], W_vsDhMu9B, 5753118]
[paragraph, [892.0, 192.0, 704.0, 36.0], JglhF8fAyS, 5753118]
[paragraph, [892.0, 228.0, 704.0, 36.0], JglhF8fAyS, 5753118]
[paragraph, [892.0, 264.0, 704.0, 36.0], JglhF8fAyS, 5753118]
[paragraph, [890.0, 323.0, 702.0, 36.0], BhnzFGeLm3, 5753118]
[paragraph, [890.0, 359.0, 702.0, 36.0], BhnzFGeLm3, 5753118]
[paragraph, [890.0, 395.0, 702.0, 36.0], BhnzFGeLm3, 5753118]
[paragraph, [890.0, 431.0, 702.0, 36.0], BhnzFGeLm3, 5753118]
[paragraph, [89.0, 367.0, 708.0, 36.0], U5GkVvePAw, 5753118]
[paragraph, [89.0, 403.0, 708.0, 36.0], U5GkVvePAw, 5753118]
[paragraph, [332.0, 537.0, 1266.0, 36.0], nTNq0ASPa6, 5753118]
[paragraph, [332.0, 573.0, 1266.0, 36.0], nTNq0ASPa6, 5753118]
[paragraph, [332.0, 609.0, 1266.0, 36.0], nTNq0ASPa6, 5753118]
[paragraph, [332.0, 645.0, 1266.0, 36.0], nTNq0ASPa6, 5753118]
[paragraph, [332.0, 681.0, 1266.0, 36.0], nTNq0ASPa6, 5753118]
[paragraph, [332.0, 717.0, 1266.0, 36.0], nTNq0ASPa6, 5753118]
[paragraph, [332.0, 753.0, 1266.0, 36.0], nTNq0ASPa6, 5753118]
[paragraph, [1152.0, 841.0, 450.0, 36.0], xlBQcd7i_A, 5753118]
[paragraph, [1152.0, 877.0, 450.0, 36.0], xlBQcd7i_A, 5753118]
[headline, [91.0, 844.0, 428.0, 67.5], zQ66rGME7x, 5753118]
[author, [89.0, 916.0, 275.0, 36.0], aiUPkQs2sp, 5753118]
[author, [627.0, 916.0, 258.0, 36.0], X1ynS81LaV, 5753118]
[paragraph, [1152.0, 986.0, 347.0, 36.0], eRXerXnYjc, 5753118]
[paragraph, [1152.0, 1022.0, 347.0, 36.0], eRXerXnYjc, 5753118]
[paragraph, [1152.0, 1058.0, 347.0, 36.0], eRXerXnYjc, 5753118]
[paragraph, [612.0, 1014.0, 240.0, 36.0], nJELVjmPvK, 5753118]
[paragraph, [612.0, 1050.0, 240.0, 36.0], nJELVjmPvK, 5753118]
[paragraph, [612.0, 1086.0, 240.0, 36.0], nJELVjmPvK, 5753118]
[paragraph, [612.0, 1122.0, 240.0, 36.0], nJELVjmPvK, 5753118]
[paragraph, [612.0, 1158.0, 240.0, 36.0], nJELVjmPvK, 5753118]
[paragraph, [612.0, 1194.0, 240.0, 36.0], nJELVjmPvK, 5753118]
[paragraph, [612.0, 1230.0, 240.0, 36.0], nJELVjmPvK, 5753118]
[paragraph, [612.0, 1266.0, 240.0, 36.0], nJELVjmPvK, 5753118]
[paragraph, [91.0, 1021.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1057.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1093.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1129.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1165.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1201.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1237.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1273.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1309.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1345.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1381.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [91.0, 1417.0, 391.0, 36.0], Fn7RuKWYe_, 5753118]
[paragraph, [1155.0, 1147.0, 358.0, 36.0], dCoXGA6BUs, 5753118]
[paragraph, [1155.0, 1183.0, 358.0, 36.0], dCoXGA6BUs, 5753118]
[paragraph, [1155.0, 1219.0, 358.0, 36.0], dCoXGA6BUs, 5753118]
[paragraph, [1155.0, 1255.0, 358.0, 36.0], dCoXGA6BUs, 5753118]
[paragraph, [1144.0, 1331.0, 457.0, 36.0], xc99AGiRD_, 5753118]
[paragraph, [1144.0, 1367.0, 457.0, 36.0], xc99AGiRD_, 5753118]
[paragraph, [1144.0, 1403.0, 457.0, 36.0], xc99AGiRD_, 5753118]
[paragraph, [1144.0, 1439.0, 457.0, 36.0], xc99AGiRD_, 5753118]
[paragraph, [1144.0, 1475.0, 457.0, 36.0], xc99AGiRD_, 5753118]
[paragraph, [1144.0, 1511.0, 457.0, 36.0], xc99AGiRD_, 5753118]
[paragraph, [1144.0, 1547.0, 457.0, 36.0], xc99AGiRD_, 5753118]
[paragraph, [1144.0, 1583.0, 457.0, 36.0], xc99AGiRD_, 5753118]
[paragraph, [619.0, 1355.0, 339.0, 36.0], WEBx1EZ6Se, 5753118]
[paragraph, [619.0, 1391.0, 339.0, 36.0], WEBx1EZ6Se, 5753118]
[paragraph, [619.0, 1427.0, 339.0, 36.0], WEBx1EZ6Se, 5753118]
[paragraph, [619.0, 1463.0, 339.0, 36.0], WEBx1EZ6Se, 5753118]
[paragraph, [619.0, 1499.0, 339.0, 36.0], WEBx1EZ6Se, 5753118]
[paragraph, [619.0, 1578.0, 334.0, 36.0], uDoreZZVIR, 5753118]
[paragraph, [619.0, 1614.0, 334.0, 36.0], uDoreZZVIR, 5753118]
[reference, [1144.0, 1633.0, 455.0, 36.0], VcbEA_pRMd, 5753118]
[reference, [1144.0, 1669.0, 455.0, 36.0], VcbEA_pRMd, 5753118]
