[1320, 1176]
[folio, [945.0, 58.0, 160.0, 18.0], TSQlhJilxS, 5693760]
[folio, [945.0, 76.0, 160.0, 18.0], TSQlhJilxS, 5693760]
[folio, [945.0, 94.0, 160.0, 18.0], TSQlhJilxS, 5693760]
[folio, [945.0, 112.0, 160.0, 18.0], TSQlhJilxS, 5693760]
[folio, [945.0, 130.0, 160.0, 18.0], TSQlhJilxS, 5693760]
[answer, [422.0, 187.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 205.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 223.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 241.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 259.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 277.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 295.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 313.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 331.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 349.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 367.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 385.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 403.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [422.0, 421.0, 331.0, 18.0], LRdalUR_ti, 5693760]
[answer, [772.0, 315.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 333.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 351.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 369.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 387.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 405.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 423.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 441.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 459.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 477.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 495.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 513.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[answer, [772.0, 531.0, 328.0, 18.0], 6sfoaoW1kK, 5693760]
[headline, [552.0, 575.0, 490.0, 25.5], pIVca1yF59, 5693760]
[headline, [552.0, 600.5, 490.0, 25.5], pIVca1yF59, 5693760]
[headline, [552.0, 626.0, 490.0, 25.5], pIVca1yF59, 5693760]
[paragraph, [427.0, 671.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 689.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 707.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 725.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 743.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 761.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 779.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 797.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 815.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 833.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 851.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 869.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 887.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 905.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[paragraph, [427.0, 923.0, 665.0, 18.0], -LzSvNE1Yz, 5693760]
[answer, [79.0, 701.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 719.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 737.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 755.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 773.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 791.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 809.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 827.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 845.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 863.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 881.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 899.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 917.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 935.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 953.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
[answer, [79.0, 971.0, 327.0, 18.0], yg5j1jxq8K, 5693760]
