[2241, 1758]
[paragraph, [57.0, 174.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 210.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 246.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 282.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 318.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 354.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 390.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 426.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 462.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 498.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 534.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 570.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 606.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 642.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 678.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 714.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [57.0, 750.0, 779.0, 36.0], shoonya_0sMBXOPAK67626, 5654119]
[paragraph, [865.0, 174.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 210.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 246.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 282.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 318.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 354.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 390.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 426.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 462.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 498.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 534.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 570.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 606.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 642.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 678.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 714.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 750.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 786.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 822.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 858.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 894.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [865.0, 930.0, 783.0, 36.0], shoonya_5s6RKPVIDXVXKS, 5654119]
[paragraph, [80.0, 819.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 855.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 891.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 927.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 963.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 999.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1035.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1071.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1107.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1143.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1179.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1215.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1251.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1287.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1323.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1359.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1395.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1431.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [80.0, 1467.0, 775.0, 36.0], shoonya_1s6C3NK27JAI31, 5654119]
[paragraph, [869.0, 966.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1002.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1038.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1074.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1110.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1146.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1182.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1218.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1254.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1290.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1326.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1362.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1398.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1434.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1470.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1506.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
[paragraph, [869.0, 1542.0, 773.0, 36.0], 0Pz9XWr3Ux, 5654119]
