[1754, 1241]
[paragraph, [151.0, 132.0, 1012.0, 36.0], shoonya_0sEENDVM1UPYZZ, 5715133]
[paragraph, [151.0, 168.0, 1012.0, 36.0], shoonya_0sEENDVM1UPYZZ, 5715133]
[paragraph, [151.0, 204.0, 1012.0, 36.0], shoonya_0sEENDVM1UPYZZ, 5715133]
[paragraph, [151.0, 240.0, 1012.0, 36.0], shoonya_0sEENDVM1UPYZZ, 5715133]
[paragraph, [151.0, 276.0, 1012.0, 36.0], shoonya_0sEENDVM1UPYZZ, 5715133]
[paragraph, [151.0, 312.0, 1012.0, 36.0], shoonya_0sEENDVM1UPYZZ, 5715133]
[paragraph, [151.0, 348.0, 1012.0, 36.0], shoonya_0sEENDVM1UPYZZ, 5715133]
[paragraph, [151.0, 384.0, 1012.0, 36.0], shoonya_0sEENDVM1UPYZZ, 5715133]
[paragraph, [151.0, 420.0, 1012.0, 36.0], shoonya_0sEENDVM1UPYZZ, 5715133]
[paragraph, [151.0, 456.0, 1012.0, 36.0], shoonya_0sEENDVM1UPYZZ, 5715133]
[paragraph, [151.0, 512.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 548.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 584.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 620.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 656.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 692.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 728.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 764.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 800.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 836.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 872.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 908.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 944.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 980.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1016.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1052.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1088.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1124.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1160.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1196.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1232.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1268.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1304.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1340.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1376.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1412.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1448.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1484.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
[paragraph, [151.0, 1520.0, 1017.0, 36.0], shoonya_1sYQ83FYAEDTKJ, 5715133]
