[2339, 1653]
[section-title, [415.0, 260.0, 946.0, 52.5], P6dQgQw1cw, 5690024]
[section-title, [415.0, 312.5, 946.0, 52.5], P6dQgQw1cw, 5690024]
[section-title, [415.0, 365.0, 946.0, 52.5], P6dQgQw1cw, 5690024]
[section-title, [415.0, 417.5, 946.0, 52.5], P6dQgQw1cw, 5690024]
[section-title, [415.0, 470.0, 946.0, 52.5], P6dQgQw1cw, 5690024]
[folio, [208.0, 373.0, 198.0, 36.0], -AJNpJLrIB, 5690024]
[folio, [208.0, 409.0, 198.0, 36.0], -AJNpJLrIB, 5690024]
[folio, [208.0, 445.0, 198.0, 36.0], -AJNpJLrIB, 5690024]
[folio, [208.0, 481.0, 198.0, 36.0], -AJNpJLrIB, 5690024]
[folio, [208.0, 517.0, 198.0, 36.0], -AJNpJLrIB, 5690024]
[ordered-list, [164.0, 603.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 639.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 675.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 711.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 747.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 783.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 819.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 855.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 891.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 927.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 963.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 999.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1035.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1071.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1107.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1143.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1179.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1215.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1251.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1287.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1323.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1359.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1395.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1431.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1467.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1503.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1539.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1575.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1611.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1647.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1683.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1719.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1755.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1791.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1827.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1863.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1899.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1935.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 1971.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[ordered-list, [164.0, 2007.0, 1336.0, 36.0], mz3YLuqLtS, 5690024]
[sidebar, [165.0, 1710.0, 1312.0, 36.0], BKp5TjWU2w, 5690024]
[sidebar, [165.0, 1746.0, 1312.0, 36.0], BKp5TjWU2w, 5690024]
[sidebar, [165.0, 1782.0, 1312.0, 36.0], BKp5TjWU2w, 5690024]
[sidebar, [165.0, 1818.0, 1312.0, 36.0], BKp5TjWU2w, 5690024]
[sidebar, [165.0, 1854.0, 1312.0, 36.0], BKp5TjWU2w, 5690024]
