[3509, 2480]
[paragraph, [371.0, 404.0, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 456.5, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 509.0, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 561.5, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 614.0, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 666.5, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 719.0, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 771.5, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 824.0, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 876.5, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 929.0, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 981.5, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 1034.0, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [371.0, 1086.5, 1774.0, 52.5], shoonya_0s9M1MCNCIUQKS, 5724310]
[paragraph, [365.0, 1221.0, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1273.5, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1326.0, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1378.5, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1431.0, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1483.5, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1536.0, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1588.5, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1641.0, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1693.5, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1746.0, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1798.5, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1851.0, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1903.5, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 1956.0, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 2008.5, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 2061.0, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 2113.5, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 2166.0, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 2218.5, 1784.0, 52.5], shoonya_2s51IWV9J7YNF0, 5724310]
[paragraph, [365.0, 2338.0, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2390.5, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2443.0, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2495.5, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2548.0, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2600.5, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2653.0, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2705.5, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2758.0, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2810.5, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2863.0, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2915.5, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 2968.0, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 3020.5, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
[paragraph, [365.0, 3073.0, 1776.0, 52.5], shoonya_1sCYBGXJGN1F3A, 5724310]
