[2200, 1700]
[paragraph, [318.0, 96.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 132.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 168.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 204.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 240.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 276.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 312.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 348.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 384.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 420.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 456.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 492.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 528.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 564.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 600.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 636.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 672.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 708.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 744.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 780.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 816.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 852.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 888.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 924.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 960.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 996.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1032.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1068.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1104.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1140.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1176.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1212.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1248.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1284.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1320.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1356.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1392.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1428.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1464.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1500.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1536.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1572.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [318.0, 1608.0, 1136.0, 36.0], shoonya_0s4C9L7HYEXSPE, 5731290]
[paragraph, [333.0, 1673.0, 1139.0, 36.0], ivdMI0VVY9, 5731290]
[paragraph, [333.0, 1709.0, 1139.0, 36.0], ivdMI0VVY9, 5731290]
[paragraph, [333.0, 1745.0, 1139.0, 36.0], ivdMI0VVY9, 5731290]
[paragraph, [333.0, 1781.0, 1139.0, 36.0], ivdMI0VVY9, 5731290]
[paragraph, [333.0, 1817.0, 1139.0, 36.0], ivdMI0VVY9, 5731290]
[paragraph, [333.0, 1853.0, 1139.0, 36.0], ivdMI0VVY9, 5731290]
[paragraph, [333.0, 1889.0, 1139.0, 36.0], ivdMI0VVY9, 5731290]
[paragraph, [333.0, 1925.0, 1139.0, 36.0], ivdMI0VVY9, 5731290]
[folio, [997.0, 2055.0, 362.0, 36.0], __EMTiqpxN, 5731290]
