[2278, 1778]
[folio, [105.0, 42.0, 416.0, 36.0], shoonya_7sDOBKG61DTEAA, 5758467]
[folio, [105.0, 78.0, 416.0, 36.0], shoonya_7sDOBKG61DTEAA, 5758467]
[folio, [105.0, 114.0, 416.0, 36.0], shoonya_7sDOBKG61DTEAA, 5758467]
[folio, [105.0, 150.0, 416.0, 36.0], shoonya_7sDOBKG61DTEAA, 5758467]
[folio, [1279.0, 58.0, 380.0, 36.0], GWJ0YIWJL9, 5758467]
[folio, [1279.0, 94.0, 380.0, 36.0], GWJ0YIWJL9, 5758467]
[paragraph, [130.0, 281.0, 1522.0, 36.0], shoonya_4s588DG8TOBLGS, 5758467]
[paragraph, [130.0, 317.0, 1522.0, 36.0], shoonya_4s588DG8TOBLGS, 5758467]
[paragraph, [130.0, 353.0, 1522.0, 36.0], shoonya_4s588DG8TOBLGS, 5758467]
[paragraph, [130.0, 389.0, 1522.0, 36.0], shoonya_4s588DG8TOBLGS, 5758467]
[paragraph, [128.0, 461.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 497.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 533.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 569.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 605.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 641.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 677.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 713.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 749.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 785.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 821.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [128.0, 857.0, 1533.0, 36.0], shoonya_0sQT5BGE1GIPQG, 5758467]
[paragraph, [123.0, 935.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [123.0, 971.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [123.0, 1007.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [123.0, 1043.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [123.0, 1079.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [123.0, 1115.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [123.0, 1151.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [123.0, 1187.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [123.0, 1223.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [123.0, 1259.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [123.0, 1295.0, 1527.0, 36.0], shoonya_1sLCZVSOAK8UVE, 5758467]
[paragraph, [127.0, 1346.0, 1534.0, 36.0], shoonya_3s3VGO26CXUVLZ, 5758467]
[paragraph, [127.0, 1382.0, 1534.0, 36.0], shoonya_3s3VGO26CXUVLZ, 5758467]
[paragraph, [127.0, 1418.0, 1534.0, 36.0], shoonya_3s3VGO26CXUVLZ, 5758467]
[paragraph, [127.0, 1454.0, 1534.0, 36.0], shoonya_3s3VGO26CXUVLZ, 5758467]
[paragraph, [127.0, 1490.0, 1534.0, 36.0], shoonya_3s3VGO26CXUVLZ, 5758467]
[paragraph, [127.0, 1526.0, 1534.0, 36.0], shoonya_3s3VGO26CXUVLZ, 5758467]
[paragraph, [127.0, 1562.0, 1534.0, 36.0], shoonya_3s3VGO26CXUVLZ, 5758467]
[paragraph, [127.0, 1598.0, 1534.0, 36.0], shoonya_3s3VGO26CXUVLZ, 5758467]
[paragraph, [127.0, 1634.0, 1534.0, 36.0], shoonya_3s3VGO26CXUVLZ, 5758467]
[paragraph, [127.0, 1670.0, 1534.0, 36.0], shoonya_3s3VGO26CXUVLZ, 5758467]
[section-title, [118.0, 1700.0, 339.0, 52.5], _JUz-8Gd1W, 5758467]
[paragraph, [110.0, 1761.0, 1550.0, 36.0], shoonya_2sYN0907RJAX2O, 5758467]
[paragraph, [110.0, 1797.0, 1550.0, 36.0], shoonya_2sYN0907RJAX2O, 5758467]
[paragraph, [110.0, 1833.0, 1550.0, 36.0], shoonya_2sYN0907RJAX2O, 5758467]
[paragraph, [110.0, 1869.0, 1550.0, 36.0], shoonya_2sYN0907RJAX2O, 5758467]
[paragraph, [110.0, 1905.0, 1550.0, 36.0], shoonya_2sYN0907RJAX2O, 5758467]
[paragraph, [110.0, 1941.0, 1550.0, 36.0], shoonya_2sYN0907RJAX2O, 5758467]
[paragraph, [110.0, 1977.0, 1550.0, 36.0], shoonya_2sYN0907RJAX2O, 5758467]
[paragraph, [110.0, 2013.0, 1550.0, 36.0], shoonya_2sYN0907RJAX2O, 5758467]
