[3300, 2550]
[reference, [279.0, 283.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 335.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 388.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 440.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 493.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 545.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 598.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 650.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 703.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 755.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 808.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 860.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 913.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 965.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1018.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1070.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1123.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1175.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1228.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1280.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1333.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1385.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1438.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1490.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1543.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1595.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1648.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1700.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1753.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1805.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1858.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1910.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 1963.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2015.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2068.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2120.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2173.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2225.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2278.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2330.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2383.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2435.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2488.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2540.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2593.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2645.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2698.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2750.5, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
[reference, [279.0, 2803.0, 2004.0, 52.5], shoonya_1sTA3BLX2Z8V0C, 5720007]
