[1754, 1241]
[paragraph, [213.0, 146.0, 889.0, 36.0], shoonya_1sX68NM17JTIE8, 6470654]
[paragraph, [213.0, 182.0, 889.0, 36.0], shoonya_1sX68NM17JTIE8, 6470654]
[paragraph, [213.0, 218.0, 889.0, 36.0], shoonya_1sX68NM17JTIE8, 6470654]
[paragraph, [213.0, 254.0, 889.0, 36.0], shoonya_1sX68NM17JTIE8, 6470654]
[paragraph, [213.0, 290.0, 889.0, 36.0], shoonya_1sX68NM17JTIE8, 6470654]
[paragraph, [213.0, 326.0, 889.0, 36.0], shoonya_1sX68NM17JTIE8, 6470654]
[paragraph, [213.0, 362.0, 889.0, 36.0], shoonya_1sX68NM17JTIE8, 6470654]
[paragraph, [213.0, 398.0, 889.0, 36.0], shoonya_1sX68NM17JTIE8, 6470654]
[paragraph, [211.0, 480.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 516.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 552.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 588.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 624.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 660.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 696.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 732.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 768.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 804.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 840.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 876.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 912.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 948.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 984.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1020.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1056.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1092.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1128.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1164.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1200.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1236.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1272.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1308.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1344.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1380.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
[paragraph, [211.0, 1416.0, 894.0, 36.0], shoonya_0s0NPVLX9ZM4D4, 6470654]
