[1755, 1241]
[folio, [679.0, 74.0, 356.0, 36.0], fCyoW8EpvZ, 5760752]
[paragraph, [235.0, 141.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 177.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 213.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 249.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 285.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 321.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 357.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 393.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 429.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 465.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 501.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [235.0, 537.0, 798.0, 36.0], sHz6_hhZ5O, 5760752]
[paragraph, [237.0, 585.0, 806.0, 36.0], q9tnfXyils, 5760752]
[paragraph, [237.0, 621.0, 806.0, 36.0], q9tnfXyils, 5760752]
[paragraph, [237.0, 657.0, 806.0, 36.0], q9tnfXyils, 5760752]
[paragraph, [237.0, 693.0, 806.0, 36.0], q9tnfXyils, 5760752]
[paragraph, [237.0, 729.0, 806.0, 36.0], q9tnfXyils, 5760752]
[paragraph, [237.0, 765.0, 806.0, 36.0], q9tnfXyils, 5760752]
[paragraph, [237.0, 801.0, 806.0, 36.0], q9tnfXyils, 5760752]
[paragraph, [237.0, 837.0, 806.0, 36.0], q9tnfXyils, 5760752]
[paragraph, [237.0, 873.0, 806.0, 36.0], q9tnfXyils, 5760752]
[paragraph, [237.0, 909.0, 806.0, 36.0], q9tnfXyils, 5760752]
[paragraph, [311.0, 1009.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1045.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1081.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1117.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1153.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1189.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1225.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1261.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1297.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1333.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1369.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1405.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1441.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1477.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
[paragraph, [311.0, 1513.0, 546.0, 36.0], shoonya_1sGK6P6O541THK, 5760752]
