[2520, 1740]
[sidebar, [1094.0, 132.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 178.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 225.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 271.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 318.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 364.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 411.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 457.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 504.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 550.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 597.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 643.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 690.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 736.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 783.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 829.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 876.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 922.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 969.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 1015.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 1062.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 1108.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 1155.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 1201.5, 525.0, 46.5], By2ExOnfYX, 5693696]
[sidebar, [1094.0, 1248.0, 525.0, 46.5], By2ExOnfYX, 5693696]
[paragraph, [1106.0, 1334.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1380.5, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1427.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1473.5, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1520.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1566.5, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1613.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1659.5, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1706.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1752.5, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1799.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1845.5, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1892.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1938.5, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 1985.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 2031.5, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 2078.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 2124.5, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 2171.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 2217.5, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [1106.0, 2264.0, 511.0, 46.5], shoonya_5s2AA9CZDKENPR, 5693696]
[paragraph, [2.0, 1776.0, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 1822.5, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 1869.0, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 1915.5, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 1962.0, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 2008.5, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 2055.0, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 2101.5, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 2148.0, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 2194.5, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 2241.0, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[paragraph, [2.0, 2287.5, 295.0, 46.5], shoonya_4s3YDOK1H05M1J, 5693696]
[figure-caption, [343.0, 2041.0, 184.0, 46.5], shoonya_7sWE95Z2TO2OE5, 5693696]
[figure-caption, [343.0, 2087.5, 184.0, 46.5], shoonya_7sWE95Z2TO2OE5, 5693696]
