[792, 612]
[folio, [210.0, 24.0, 227.0, 18.0], n45Hxjsj7U, 5743797]
[paragraph, [108.0, 57.0, 432.0, 18.0], shoonya_0s3YYDI3HJHECF, 5743797]
[paragraph, [108.0, 75.0, 432.0, 18.0], shoonya_0s3YYDI3HJHECF, 5743797]
[paragraph, [108.0, 93.0, 432.0, 18.0], shoonya_0s3YYDI3HJHECF, 5743797]
[paragraph, [108.0, 111.0, 432.0, 18.0], shoonya_0s3YYDI3HJHECF, 5743797]
[paragraph, [108.0, 129.0, 432.0, 18.0], shoonya_0s3YYDI3HJHECF, 5743797]
[paragraph, [108.0, 147.0, 432.0, 18.0], shoonya_0s3YYDI3HJHECF, 5743797]
[paragraph, [108.0, 165.0, 432.0, 18.0], shoonya_0s3YYDI3HJHECF, 5743797]
[paragraph, [108.0, 183.0, 432.0, 18.0], shoonya_0s3YYDI3HJHECF, 5743797]
[paragraph, [106.0, 212.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 230.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 248.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 266.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 284.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 302.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 320.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 338.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 356.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 374.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 392.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 410.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 428.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [106.0, 446.0, 437.0, 18.0], 7Ry6uhP0ei, 5743797]
[paragraph, [108.0, 485.0, 430.0, 18.0], 9PLnXj4lN8, 5743797]
[paragraph, [108.0, 503.0, 430.0, 18.0], 9PLnXj4lN8, 5743797]
[paragraph, [108.0, 521.0, 430.0, 18.0], 9PLnXj4lN8, 5743797]
[paragraph, [108.0, 539.0, 430.0, 18.0], 9PLnXj4lN8, 5743797]
[paragraph, [108.0, 557.0, 430.0, 18.0], 9PLnXj4lN8, 5743797]
[paragraph, [108.0, 575.0, 430.0, 18.0], 9PLnXj4lN8, 5743797]
[paragraph, [108.0, 593.0, 430.0, 18.0], 9PLnXj4lN8, 5743797]
[paragraph, [108.0, 611.0, 430.0, 18.0], 9PLnXj4lN8, 5743797]
[paragraph, [108.0, 629.0, 430.0, 18.0], 9PLnXj4lN8, 5743797]
[paragraph, [109.0, 663.0, 432.0, 18.0], tlaRBKS_ZZ, 5743797]
[paragraph, [109.0, 681.0, 432.0, 18.0], tlaRBKS_ZZ, 5743797]
[paragraph, [109.0, 699.0, 432.0, 18.0], tlaRBKS_ZZ, 5743797]
