[842, 596]
[sub-section-title, [69.0, 76.0, 489.0, 25.5], shoonya_2sCB27SDSTIG2J, 5658275]
[unordered-list, [70.0, 109.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 127.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 145.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 163.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 181.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 199.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 217.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 235.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 253.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 271.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 289.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 307.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 325.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 343.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 361.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 379.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 397.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 415.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 433.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 451.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 469.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 487.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 505.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 523.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 541.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 559.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 577.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 595.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 613.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 631.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 649.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 667.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 685.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 703.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[unordered-list, [70.0, 721.0, 470.0, 18.0], shoonya_0s2S5L39SWSIP5, 5658275]
[footnote, [70.0, 778.0, 478.0, 18.0], bvTaL8IBve, 5658275]
