[1162, 749]
[folio, [327.0, 76.0, 87.0, 18.0], shoonya_3s76NZW290NAWW, 5700158]
[paragraph, [77.0, 120.0, 601.0, 18.0], shoonya_1sNQ68FOVSGYCU, 5700158]
[paragraph, [77.0, 138.0, 601.0, 18.0], shoonya_1sNQ68FOVSGYCU, 5700158]
[paragraph, [77.0, 156.0, 601.0, 18.0], shoonya_1sNQ68FOVSGYCU, 5700158]
[paragraph, [77.0, 174.0, 601.0, 18.0], shoonya_1sNQ68FOVSGYCU, 5700158]
[paragraph, [77.0, 192.0, 601.0, 18.0], shoonya_1sNQ68FOVSGYCU, 5700158]
[paragraph, [77.0, 210.0, 601.0, 18.0], shoonya_1sNQ68FOVSGYCU, 5700158]
[paragraph, [77.0, 228.0, 601.0, 18.0], shoonya_1sNQ68FOVSGYCU, 5700158]
[paragraph, [77.0, 246.0, 601.0, 18.0], shoonya_1sNQ68FOVSGYCU, 5700158]
[paragraph, [77.0, 264.0, 601.0, 18.0], shoonya_1sNQ68FOVSGYCU, 5700158]
[paragraph, [77.0, 293.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 311.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 329.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 347.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 365.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 383.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 401.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 419.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 437.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 455.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 473.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 491.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 509.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 527.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 545.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 563.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [77.0, 581.0, 595.0, 18.0], shoonya_2sQP1E84XMQ7F4, 5700158]
[paragraph, [81.0, 608.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 626.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 644.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 662.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 680.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 698.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 716.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 734.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 752.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 770.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 788.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 806.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 824.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 842.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 860.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 878.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 896.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 914.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 932.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 950.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 968.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 986.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 1004.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 1022.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 1040.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
[paragraph, [81.0, 1058.0, 588.0, 18.0], shoonya_0sAFHN34MJT00Y, 5700158]
