[2200, 1700]
[folio, [787.0, 397.0, 156.0, 36.0], shoonya_1s1CCBJA3YBVF1, 5732129]
[paragraph, [451.0, 487.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 523.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 559.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 595.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 631.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 667.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 703.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 739.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 775.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 811.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 847.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 883.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 919.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 955.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 991.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1027.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1063.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1099.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1135.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1171.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1207.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1243.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1279.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1315.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1351.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1387.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1423.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1459.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1495.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1531.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1567.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1603.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1639.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1675.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[paragraph, [451.0, 1711.0, 817.0, 36.0], shoonya_0sQ23LE7OP3ZS6, 5732129]
[footnote, [1305.0, 2034.0, 218.0, 36.0], LFQ78Boweo, 5732129]
[footnote, [1305.0, 2070.0, 218.0, 36.0], LFQ78Boweo, 5732129]
[folio, [804.0, 2110.0, 171.0, 36.0], rf0O-5N8eh, 5732129]
