[1951, 1219]
[folio, [785.0, 118.0, 197.0, 36.0], shoonya_0sF39XTXXWO9ZW, 5682575]
[paragraph, [120.0, 207.0, 946.0, 36.0], Z-Mf-dbriS, 5682575]
[paragraph, [120.0, 243.0, 946.0, 36.0], Z-Mf-dbriS, 5682575]
[paragraph, [120.0, 279.0, 946.0, 36.0], Z-Mf-dbriS, 5682575]
[paragraph, [121.0, 336.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 372.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 408.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 444.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 480.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 516.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 552.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 588.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 624.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 660.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 696.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 732.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 768.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 804.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 840.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 876.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 912.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 948.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 984.0, 943.0, 36.0], 1airBNGA2G, 5682575]
[paragraph, [121.0, 1028.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1064.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1100.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1136.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1172.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1208.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1244.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1280.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1316.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1352.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1388.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1424.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1460.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [121.0, 1496.0, 943.0, 36.0], QQ1-eSoERz, 5682575]
[paragraph, [120.0, 1548.0, 944.0, 36.0], MkbDQYENEj, 5682575]
[paragraph, [120.0, 1584.0, 944.0, 36.0], MkbDQYENEj, 5682575]
[paragraph, [120.0, 1620.0, 944.0, 36.0], MkbDQYENEj, 5682575]
[paragraph, [117.0, 1664.0, 972.0, 36.0], Fd-kA4IOx5, 5682575]
[paragraph, [117.0, 1700.0, 972.0, 36.0], Fd-kA4IOx5, 5682575]
[paragraph, [117.0, 1736.0, 972.0, 36.0], Fd-kA4IOx5, 5682575]
[paragraph, [117.0, 1772.0, 972.0, 36.0], Fd-kA4IOx5, 5682575]
[paragraph, [117.0, 1808.0, 972.0, 36.0], Fd-kA4IOx5, 5682575]
