[2339, 1653]
[paragraph, [236.0, 208.0, 1179.0, 36.0], shoonya_1sDKTVH7K0V7AE, 5687531]
[paragraph, [236.0, 244.0, 1179.0, 36.0], shoonya_1sDKTVH7K0V7AE, 5687531]
[paragraph, [236.0, 280.0, 1179.0, 36.0], shoonya_1sDKTVH7K0V7AE, 5687531]
[paragraph, [236.0, 316.0, 1179.0, 36.0], shoonya_1sDKTVH7K0V7AE, 5687531]
[paragraph, [236.0, 352.0, 1179.0, 36.0], shoonya_1sDKTVH7K0V7AE, 5687531]
[paragraph, [236.0, 388.0, 1179.0, 36.0], shoonya_1sDKTVH7K0V7AE, 5687531]
[paragraph, [236.0, 424.0, 1179.0, 36.0], shoonya_1sDKTVH7K0V7AE, 5687531]
[paragraph, [239.0, 510.0, 1014.0, 36.0], mV0f_VeUx8, 5687531]
[reference, [1257.0, 511.0, 155.0, 36.0], TJh0UOtzA1, 5687531]
[paragraph, [236.0, 581.0, 1178.0, 36.0], shoonya_3sEN05LUOZBEA9, 5687531]
[paragraph, [236.0, 617.0, 1178.0, 36.0], shoonya_3sEN05LUOZBEA9, 5687531]
[paragraph, [236.0, 653.0, 1178.0, 36.0], shoonya_3sEN05LUOZBEA9, 5687531]
[paragraph, [236.0, 689.0, 1178.0, 36.0], shoonya_3sEN05LUOZBEA9, 5687531]
[paragraph, [236.0, 725.0, 1178.0, 36.0], shoonya_3sEN05LUOZBEA9, 5687531]
[paragraph, [236.0, 761.0, 1178.0, 36.0], shoonya_3sEN05LUOZBEA9, 5687531]
[paragraph, [236.0, 797.0, 1178.0, 36.0], shoonya_3sEN05LUOZBEA9, 5687531]
[paragraph, [236.0, 833.0, 1178.0, 36.0], shoonya_3sEN05LUOZBEA9, 5687531]
[paragraph, [236.0, 869.0, 1178.0, 36.0], shoonya_3sEN05LUOZBEA9, 5687531]
[paragraph, [236.0, 905.0, 1178.0, 36.0], shoonya_3sEN05LUOZBEA9, 5687531]
[paragraph, [244.0, 966.0, 261.0, 36.0], jR1eShWtuA, 5687531]
[reference, [510.0, 970.0, 325.0, 36.0], iUhD3ErrM8, 5687531]
[paragraph, [235.0, 1042.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1078.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1114.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1150.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1186.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1222.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1258.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1294.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1330.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1366.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1402.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1438.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1474.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1510.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1546.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [235.0, 1582.0, 1177.0, 36.0], shoonya_0sCENYCU68WZH8, 5687531]
[paragraph, [234.0, 1642.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 1678.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 1714.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 1750.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 1786.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 1822.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 1858.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 1894.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 1930.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 1966.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 2002.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
[paragraph, [234.0, 2038.0, 1177.0, 36.0], shoonya_2sLCLRVV9YOQU2, 5687531]
