[1987, 1270]
[folio, [597.0, 127.0, 97.0, 36.0], shoonya_1sK69ZFQC2AC8E, 5682892]
[paragraph, [139.0, 195.0, 1006.0, 36.0], shoonya_3sAXEDF8U8M3M9, 5682892]
[paragraph, [139.0, 231.0, 1006.0, 36.0], shoonya_3sAXEDF8U8M3M9, 5682892]
[paragraph, [139.0, 267.0, 1006.0, 36.0], shoonya_3sAXEDF8U8M3M9, 5682892]
[paragraph, [139.0, 303.0, 1006.0, 36.0], shoonya_3sAXEDF8U8M3M9, 5682892]
[paragraph, [185.0, 353.0, 831.0, 36.0], shoonya_4sZKYAJ9965CSA, 5682892]
[paragraph, [141.0, 402.0, 1004.0, 36.0], shoonya_5sQPF15281EQBO, 5682892]
[paragraph, [141.0, 438.0, 1004.0, 36.0], shoonya_5sQPF15281EQBO, 5682892]
[paragraph, [136.0, 511.0, 1006.0, 36.0], 6uZ1eUBA8M, 5682892]
[paragraph, [136.0, 547.0, 1006.0, 36.0], 6uZ1eUBA8M, 5682892]
[paragraph, [136.0, 583.0, 1006.0, 36.0], 6uZ1eUBA8M, 5682892]
[paragraph, [179.0, 664.0, 769.0, 36.0], E4uMtjmNqN, 5682892]
[paragraph, [184.0, 717.0, 950.0, 36.0], c4e2QiFgQM, 5682892]
[paragraph, [188.0, 772.0, 623.0, 36.0], zHfKz3evK6, 5682892]
[paragraph, [130.0, 825.0, 1012.0, 36.0], LVhyE96wEL, 5682892]
[paragraph, [130.0, 861.0, 1012.0, 36.0], LVhyE96wEL, 5682892]
[paragraph, [130.0, 897.0, 1012.0, 36.0], LVhyE96wEL, 5682892]
[paragraph, [130.0, 933.0, 1012.0, 36.0], LVhyE96wEL, 5682892]
[paragraph, [130.0, 969.0, 1012.0, 36.0], LVhyE96wEL, 5682892]
[paragraph, [130.0, 1005.0, 1012.0, 36.0], LVhyE96wEL, 5682892]
[paragraph, [130.0, 1041.0, 1012.0, 36.0], LVhyE96wEL, 5682892]
[paragraph, [130.0, 1077.0, 1012.0, 36.0], LVhyE96wEL, 5682892]
[paragraph, [130.0, 1113.0, 1012.0, 36.0], LVhyE96wEL, 5682892]
[paragraph, [128.0, 1187.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1223.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1259.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1295.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1331.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1367.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1403.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1439.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1475.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1511.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1547.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1583.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1619.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1655.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1691.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1727.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1763.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
[paragraph, [128.0, 1799.0, 1015.0, 36.0], WliMvRK5oQ, 5682892]
