[1823, 1375]
[folio, [434.0, 108.0, 528.0, 36.0], axgRrHdZLr, 5684200]
[paragraph, [124.0, 184.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 220.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 256.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 292.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 328.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 364.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 400.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 436.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 472.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 508.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 544.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 580.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 616.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 652.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 688.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 724.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [124.0, 760.0, 564.0, 36.0], shoonya_0s5YQEABYW7XHM, 5684200]
[paragraph, [700.0, 185.0, 566.0, 36.0], shoonya_3sIGIW1U79PGS5, 5684200]
[paragraph, [700.0, 221.0, 566.0, 36.0], shoonya_3sIGIW1U79PGS5, 5684200]
[paragraph, [700.0, 257.0, 566.0, 36.0], shoonya_3sIGIW1U79PGS5, 5684200]
