[720, 504]
[folio, [374.0, 73.0, 79.0, 18.0], chld0juorC, 5652114]
[paragraph, [257.0, 105.0, 199.0, 18.0], shoonya_7sY4ZUCHACI61U, 5652114]
[paragraph, [257.0, 123.0, 199.0, 18.0], shoonya_7sY4ZUCHACI61U, 5652114]
[paragraph, [257.0, 141.0, 199.0, 18.0], shoonya_7sY4ZUCHACI61U, 5652114]
[paragraph, [47.0, 107.0, 198.0, 18.0], shoonya_6s5G7PC7VFZB3A, 5652114]
[paragraph, [47.0, 125.0, 198.0, 18.0], shoonya_6s5G7PC7VFZB3A, 5652114]
[paragraph, [47.0, 143.0, 198.0, 18.0], shoonya_6s5G7PC7VFZB3A, 5652114]
[paragraph, [57.0, 221.0, 386.0, 18.0], shoonya_4sS7VV73CIYBRB, 5652114]
[paragraph, [57.0, 239.0, 386.0, 18.0], shoonya_4sS7VV73CIYBRB, 5652114]
[paragraph, [57.0, 257.0, 386.0, 18.0], shoonya_4sS7VV73CIYBRB, 5652114]
[paragraph, [57.0, 275.0, 386.0, 18.0], shoonya_4sS7VV73CIYBRB, 5652114]
[paragraph, [60.0, 302.0, 383.0, 18.0], shoonya_3s71OU2787LKIV, 5652114]
[paragraph, [60.0, 320.0, 383.0, 18.0], shoonya_3s71OU2787LKIV, 5652114]
[paragraph, [60.0, 338.0, 383.0, 18.0], shoonya_3s71OU2787LKIV, 5652114]
[paragraph, [60.0, 356.0, 383.0, 18.0], shoonya_3s71OU2787LKIV, 5652114]
[paragraph, [60.0, 374.0, 383.0, 18.0], shoonya_3s71OU2787LKIV, 5652114]
[paragraph, [60.0, 392.0, 383.0, 18.0], shoonya_3s71OU2787LKIV, 5652114]
[paragraph, [60.0, 413.0, 383.0, 18.0], shoonya_1sXHGKX86S51PQ, 5652114]
[paragraph, [60.0, 431.0, 383.0, 18.0], shoonya_1sXHGKX86S51PQ, 5652114]
[paragraph, [60.0, 449.0, 383.0, 18.0], shoonya_1sXHGKX86S51PQ, 5652114]
[paragraph, [60.0, 467.0, 383.0, 18.0], shoonya_1sXHGKX86S51PQ, 5652114]
[paragraph, [60.0, 485.0, 383.0, 18.0], shoonya_1sXHGKX86S51PQ, 5652114]
[paragraph, [60.0, 503.0, 383.0, 18.0], shoonya_1sXHGKX86S51PQ, 5652114]
[paragraph, [60.0, 525.0, 384.0, 18.0], shoonya_0sQEWBKEAXG0QZ, 5652114]
[paragraph, [60.0, 543.0, 384.0, 18.0], shoonya_0sQEWBKEAXG0QZ, 5652114]
[paragraph, [60.0, 561.0, 384.0, 18.0], shoonya_0sQEWBKEAXG0QZ, 5652114]
[paragraph, [60.0, 579.0, 384.0, 18.0], shoonya_0sQEWBKEAXG0QZ, 5652114]
[paragraph, [60.0, 597.0, 384.0, 18.0], shoonya_0sQEWBKEAXG0QZ, 5652114]
[footnote, [205.0, 682.0, 88.0, 18.0], Gm2DCMqNk8, 5652114]
