[975, 573]
[paragraph, [22.0, 67.0, 525.0, 18.0], shoonya_2sE9750EGGRN67, 5776528]
[paragraph, [22.0, 85.0, 525.0, 18.0], shoonya_2sE9750EGGRN67, 5776528]
[paragraph, [22.0, 103.0, 525.0, 18.0], shoonya_2sE9750EGGRN67, 5776528]
[paragraph, [22.0, 121.0, 525.0, 18.0], shoonya_2sE9750EGGRN67, 5776528]
[paragraph, [22.0, 139.0, 525.0, 18.0], shoonya_2sE9750EGGRN67, 5776528]
[paragraph, [22.0, 157.0, 525.0, 18.0], shoonya_2sE9750EGGRN67, 5776528]
[paragraph, [22.0, 175.0, 525.0, 18.0], shoonya_2sE9750EGGRN67, 5776528]
[paragraph, [23.0, 206.0, 521.0, 18.0], shoonya_3sBJR6AK9BA5K3, 5776528]
[paragraph, [23.0, 224.0, 521.0, 18.0], shoonya_3sBJR6AK9BA5K3, 5776528]
[paragraph, [23.0, 242.0, 521.0, 18.0], shoonya_3sBJR6AK9BA5K3, 5776528]
[paragraph, [23.0, 260.0, 521.0, 18.0], shoonya_3sBJR6AK9BA5K3, 5776528]
[paragraph, [23.0, 278.0, 521.0, 18.0], shoonya_3sBJR6AK9BA5K3, 5776528]
[paragraph, [23.0, 296.0, 521.0, 18.0], shoonya_3sBJR6AK9BA5K3, 5776528]
[paragraph, [24.0, 326.0, 520.0, 18.0], shoonya_7sHEA5KGXFJKYU, 5776528]
[paragraph, [24.0, 344.0, 520.0, 18.0], shoonya_7sHEA5KGXFJKYU, 5776528]
[paragraph, [24.0, 362.0, 520.0, 18.0], shoonya_7sHEA5KGXFJKYU, 5776528]
[paragraph, [26.0, 384.0, 515.0, 18.0], shoonya_4sPEJQQIO2Q3YP, 5776528]
[paragraph, [26.0, 402.0, 515.0, 18.0], shoonya_4sPEJQQIO2Q3YP, 5776528]
[paragraph, [26.0, 420.0, 515.0, 18.0], shoonya_4sPEJQQIO2Q3YP, 5776528]
[paragraph, [26.0, 438.0, 515.0, 18.0], shoonya_4sPEJQQIO2Q3YP, 5776528]
[paragraph, [24.0, 460.0, 518.0, 18.0], shoonya_1sS1OIPYN636DP, 5776528]
[paragraph, [24.0, 478.0, 518.0, 18.0], shoonya_1sS1OIPYN636DP, 5776528]
[paragraph, [24.0, 496.0, 518.0, 18.0], shoonya_1sS1OIPYN636DP, 5776528]
[paragraph, [24.0, 514.0, 518.0, 18.0], shoonya_1sS1OIPYN636DP, 5776528]
[paragraph, [24.0, 532.0, 518.0, 18.0], shoonya_1sS1OIPYN636DP, 5776528]
[paragraph, [24.0, 550.0, 518.0, 18.0], shoonya_1sS1OIPYN636DP, 5776528]
[paragraph, [24.0, 568.0, 518.0, 18.0], shoonya_1sS1OIPYN636DP, 5776528]
[paragraph, [24.0, 586.0, 518.0, 18.0], shoonya_1sS1OIPYN636DP, 5776528]
[paragraph, [24.0, 604.0, 518.0, 18.0], shoonya_1sS1OIPYN636DP, 5776528]
[paragraph, [24.0, 622.0, 518.0, 18.0], shoonya_1sS1OIPYN636DP, 5776528]
[paragraph, [25.0, 649.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 667.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 685.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 703.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 721.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 739.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 757.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 775.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 793.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 811.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 829.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 847.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
[paragraph, [25.0, 865.0, 515.0, 18.0], shoonya_0sZVXS0FRK0OSZ, 5776528]
