[1300, 827]
[paragraph, [63.0, 77.0, 696.0, 18.0], shoonya_0sIV22UDCQUZ76, 6472226]
[paragraph, [63.0, 95.0, 696.0, 18.0], shoonya_0sIV22UDCQUZ76, 6472226]
[paragraph, [63.0, 113.0, 696.0, 18.0], shoonya_0sIV22UDCQUZ76, 6472226]
[paragraph, [59.0, 142.0, 705.0, 18.0], 2UoJAkaucn, 6472226]
[paragraph, [59.0, 160.0, 705.0, 18.0], 2UoJAkaucn, 6472226]
[paragraph, [59.0, 178.0, 705.0, 18.0], 2UoJAkaucn, 6472226]
[paragraph, [59.0, 196.0, 705.0, 18.0], 2UoJAkaucn, 6472226]
[paragraph, [59.0, 214.0, 705.0, 18.0], 2UoJAkaucn, 6472226]
[paragraph, [59.0, 232.0, 705.0, 18.0], 2UoJAkaucn, 6472226]
[paragraph, [59.0, 250.0, 705.0, 18.0], 2UoJAkaucn, 6472226]
[paragraph, [59.0, 268.0, 705.0, 18.0], 2UoJAkaucn, 6472226]
[paragraph, [60.0, 297.0, 705.0, 18.0], mmDH9D6vlL, 6472226]
[paragraph, [60.0, 315.0, 705.0, 18.0], mmDH9D6vlL, 6472226]
[paragraph, [60.0, 333.0, 705.0, 18.0], mmDH9D6vlL, 6472226]
[paragraph, [60.0, 351.0, 705.0, 18.0], mmDH9D6vlL, 6472226]
[paragraph, [60.0, 369.0, 705.0, 18.0], mmDH9D6vlL, 6472226]
[paragraph, [60.0, 387.0, 705.0, 18.0], mmDH9D6vlL, 6472226]
[paragraph, [65.0, 414.0, 696.0, 18.0], W0epnMxuTS, 6472226]
[paragraph, [65.0, 432.0, 696.0, 18.0], W0epnMxuTS, 6472226]
[paragraph, [65.0, 450.0, 696.0, 18.0], W0epnMxuTS, 6472226]
[paragraph, [65.0, 468.0, 696.0, 18.0], W0epnMxuTS, 6472226]
[paragraph, [65.0, 486.0, 696.0, 18.0], W0epnMxuTS, 6472226]
[paragraph, [65.0, 504.0, 696.0, 18.0], W0epnMxuTS, 6472226]
[paragraph, [66.0, 534.0, 694.0, 18.0], H7ymmSUEvY, 6472226]
[paragraph, [66.0, 552.0, 694.0, 18.0], H7ymmSUEvY, 6472226]
[paragraph, [66.0, 570.0, 694.0, 18.0], H7ymmSUEvY, 6472226]
[paragraph, [66.0, 588.0, 694.0, 18.0], H7ymmSUEvY, 6472226]
[paragraph, [66.0, 606.0, 694.0, 18.0], H7ymmSUEvY, 6472226]
[paragraph, [66.0, 624.0, 694.0, 18.0], H7ymmSUEvY, 6472226]
[paragraph, [66.0, 642.0, 694.0, 18.0], H7ymmSUEvY, 6472226]
[paragraph, [66.0, 660.0, 694.0, 18.0], H7ymmSUEvY, 6472226]
[paragraph, [66.0, 678.0, 694.0, 18.0], H7ymmSUEvY, 6472226]
[paragraph, [66.0, 696.0, 694.0, 18.0], H7ymmSUEvY, 6472226]
[paragraph, [56.0, 717.0, 703.0, 18.0], BXR5qd1x5g, 6472226]
[paragraph, [56.0, 735.0, 703.0, 18.0], BXR5qd1x5g, 6472226]
[paragraph, [56.0, 753.0, 703.0, 18.0], BXR5qd1x5g, 6472226]
[paragraph, [65.0, 774.0, 692.0, 18.0], KblhKwz0-y, 6472226]
[paragraph, [65.0, 792.0, 692.0, 18.0], KblhKwz0-y, 6472226]
[paragraph, [65.0, 810.0, 692.0, 18.0], KblhKwz0-y, 6472226]
[paragraph, [65.0, 828.0, 692.0, 18.0], KblhKwz0-y, 6472226]
[paragraph, [65.0, 846.0, 692.0, 18.0], KblhKwz0-y, 6472226]
[paragraph, [62.0, 868.0, 696.0, 18.0], EIRwzq0WXF, 6472226]
[paragraph, [62.0, 886.0, 696.0, 18.0], EIRwzq0WXF, 6472226]
[paragraph, [62.0, 904.0, 696.0, 18.0], EIRwzq0WXF, 6472226]
[paragraph, [68.0, 927.0, 694.0, 18.0], 7veUKO7F-O, 6472226]
[paragraph, [68.0, 945.0, 694.0, 18.0], 7veUKO7F-O, 6472226]
[paragraph, [68.0, 963.0, 694.0, 18.0], 7veUKO7F-O, 6472226]
[paragraph, [68.0, 981.0, 694.0, 18.0], 7veUKO7F-O, 6472226]
[paragraph, [68.0, 999.0, 694.0, 18.0], 7veUKO7F-O, 6472226]
[paragraph, [64.0, 1020.0, 704.0, 18.0], AeUCdaDElW, 6472226]
[paragraph, [64.0, 1038.0, 704.0, 18.0], AeUCdaDElW, 6472226]
[paragraph, [64.0, 1056.0, 704.0, 18.0], AeUCdaDElW, 6472226]
[paragraph, [64.0, 1074.0, 704.0, 18.0], AeUCdaDElW, 6472226]
[paragraph, [64.0, 1092.0, 704.0, 18.0], AeUCdaDElW, 6472226]
[paragraph, [64.0, 1110.0, 704.0, 18.0], AeUCdaDElW, 6472226]
[paragraph, [64.0, 1128.0, 704.0, 18.0], AeUCdaDElW, 6472226]
[paragraph, [64.0, 1146.0, 704.0, 18.0], AeUCdaDElW, 6472226]
[paragraph, [64.0, 1164.0, 704.0, 18.0], AeUCdaDElW, 6472226]
[paragraph, [64.0, 1182.0, 704.0, 18.0], AeUCdaDElW, 6472226]
[folio, [539.0, 1228.0, 66.0, 18.0], DNasp6J3NN, 6472226]
