[792, 612]
[paragraph, [392.0, 52.0, 160.0, 18.0], _Xc4I-OUsf, 6514689]
[paragraph, [392.0, 70.0, 160.0, 18.0], _Xc4I-OUsf, 6514689]
[paragraph, [392.0, 88.0, 160.0, 18.0], _Xc4I-OUsf, 6514689]
[paragraph, [228.0, 54.0, 158.0, 18.0], 9MMs7cvIQ4, 6514689]
[paragraph, [228.0, 72.0, 158.0, 18.0], 9MMs7cvIQ4, 6514689]
[paragraph, [228.0, 90.0, 158.0, 18.0], 9MMs7cvIQ4, 6514689]
[paragraph, [228.0, 108.0, 158.0, 18.0], 9MMs7cvIQ4, 6514689]
[paragraph, [228.0, 126.0, 158.0, 18.0], 9MMs7cvIQ4, 6514689]
[paragraph, [228.0, 144.0, 158.0, 18.0], 9MMs7cvIQ4, 6514689]
[paragraph, [61.0, 82.0, 158.0, 18.0], nGuu3svx2c, 6514689]
[paragraph, [61.0, 100.0, 158.0, 18.0], nGuu3svx2c, 6514689]
[paragraph, [392.0, 120.0, 160.0, 18.0], iXE-vErHY8, 6514689]
[paragraph, [392.0, 138.0, 160.0, 18.0], iXE-vErHY8, 6514689]
[paragraph, [392.0, 156.0, 160.0, 18.0], iXE-vErHY8, 6514689]
[paragraph, [392.0, 174.0, 160.0, 18.0], iXE-vErHY8, 6514689]
[paragraph, [392.0, 192.0, 160.0, 18.0], iXE-vErHY8, 6514689]
[paragraph, [392.0, 210.0, 160.0, 18.0], iXE-vErHY8, 6514689]
[paragraph, [392.0, 228.0, 160.0, 18.0], iXE-vErHY8, 6514689]
[paragraph, [62.0, 134.0, 158.0, 18.0], ysGhHdmXon, 6514689]
[paragraph, [62.0, 161.0, 159.0, 18.0], fz9HRnIzWl, 6514689]
[paragraph, [62.0, 179.0, 159.0, 18.0], fz9HRnIzWl, 6514689]
[paragraph, [62.0, 197.0, 159.0, 18.0], fz9HRnIzWl, 6514689]
[paragraph, [62.0, 215.0, 159.0, 18.0], fz9HRnIzWl, 6514689]
[paragraph, [228.0, 174.0, 156.0, 18.0], Q160926N7y, 6514689]
[paragraph, [228.0, 192.0, 156.0, 18.0], Q160926N7y, 6514689]
[paragraph, [225.0, 214.0, 160.0, 18.0], 2Nv9SEjj_V, 6514689]
[paragraph, [225.0, 232.0, 160.0, 18.0], 2Nv9SEjj_V, 6514689]
[paragraph, [225.0, 250.0, 160.0, 18.0], 2Nv9SEjj_V, 6514689]
[paragraph, [225.0, 268.0, 160.0, 18.0], 2Nv9SEjj_V, 6514689]
[paragraph, [225.0, 286.0, 160.0, 18.0], 2Nv9SEjj_V, 6514689]
[paragraph, [225.0, 304.0, 160.0, 18.0], 2Nv9SEjj_V, 6514689]
[paragraph, [225.0, 322.0, 160.0, 18.0], 2Nv9SEjj_V, 6514689]
[paragraph, [61.0, 240.0, 158.0, 18.0], MT2Yf2NYC7, 6514689]
[paragraph, [61.0, 258.0, 158.0, 18.0], MT2Yf2NYC7, 6514689]
[paragraph, [61.0, 276.0, 158.0, 18.0], MT2Yf2NYC7, 6514689]
[paragraph, [61.0, 294.0, 158.0, 18.0], MT2Yf2NYC7, 6514689]
[paragraph, [61.0, 312.0, 158.0, 18.0], MT2Yf2NYC7, 6514689]
[paragraph, [391.0, 267.0, 158.0, 18.0], fhzPoth06Y, 6514689]
[paragraph, [391.0, 285.0, 158.0, 18.0], fhzPoth06Y, 6514689]
[paragraph, [391.0, 303.0, 158.0, 18.0], fhzPoth06Y, 6514689]
[paragraph, [59.0, 333.0, 160.0, 18.0], LFvEKrg16I, 6514689]
[paragraph, [59.0, 351.0, 160.0, 18.0], LFvEKrg16I, 6514689]
[paragraph, [59.0, 369.0, 160.0, 18.0], LFvEKrg16I, 6514689]
[paragraph, [59.0, 387.0, 160.0, 18.0], LFvEKrg16I, 6514689]
[paragraph, [391.0, 333.0, 160.0, 18.0], aDcTuYjynb, 6514689]
[paragraph, [391.0, 351.0, 160.0, 18.0], aDcTuYjynb, 6514689]
[paragraph, [391.0, 369.0, 160.0, 18.0], aDcTuYjynb, 6514689]
[paragraph, [225.0, 359.0, 158.0, 18.0], CSxWULM5Oq, 6514689]
[paragraph, [225.0, 385.0, 160.0, 18.0], YzoHXIScNy, 6514689]
[paragraph, [225.0, 403.0, 160.0, 18.0], YzoHXIScNy, 6514689]
[paragraph, [391.0, 399.0, 159.0, 18.0], hzed-jkZm7, 6514689]
[paragraph, [391.0, 417.0, 159.0, 18.0], hzed-jkZm7, 6514689]
[paragraph, [391.0, 435.0, 159.0, 18.0], hzed-jkZm7, 6514689]
[paragraph, [60.0, 412.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 430.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 448.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 466.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 484.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 502.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 520.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 538.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 556.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 574.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 592.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 610.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 628.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 646.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [60.0, 664.0, 160.0, 18.0], jkRR3wMKP2, 6514689]
[paragraph, [224.0, 438.0, 163.0, 18.0], OHqsjq0r7S, 6514689]
[paragraph, [224.0, 456.0, 163.0, 18.0], OHqsjq0r7S, 6514689]
[paragraph, [390.0, 465.0, 160.0, 18.0], kCAzx8IfSV, 6514689]
[paragraph, [390.0, 483.0, 160.0, 18.0], kCAzx8IfSV, 6514689]
[paragraph, [390.0, 501.0, 160.0, 18.0], kCAzx8IfSV, 6514689]
[paragraph, [390.0, 519.0, 160.0, 18.0], kCAzx8IfSV, 6514689]
[paragraph, [390.0, 537.0, 160.0, 18.0], kCAzx8IfSV, 6514689]
[paragraph, [390.0, 555.0, 160.0, 18.0], kCAzx8IfSV, 6514689]
[paragraph, [390.0, 573.0, 160.0, 18.0], kCAzx8IfSV, 6514689]
[paragraph, [225.0, 478.0, 161.0, 18.0], 64qYjubueF, 6514689]
[paragraph, [225.0, 496.0, 161.0, 18.0], 64qYjubueF, 6514689]
[paragraph, [225.0, 514.0, 161.0, 18.0], 64qYjubueF, 6514689]
[paragraph, [225.0, 544.0, 160.0, 18.0], xayIkMbibd, 6514689]
[paragraph, [225.0, 562.0, 160.0, 18.0], xayIkMbibd, 6514689]
[paragraph, [225.0, 580.0, 160.0, 18.0], xayIkMbibd, 6514689]
[paragraph, [225.0, 598.0, 160.0, 18.0], xayIkMbibd, 6514689]
[paragraph, [225.0, 616.0, 160.0, 18.0], xayIkMbibd, 6514689]
[paragraph, [225.0, 634.0, 160.0, 18.0], xayIkMbibd, 6514689]
[paragraph, [225.0, 652.0, 160.0, 18.0], xayIkMbibd, 6514689]
[paragraph, [225.0, 670.0, 160.0, 18.0], xayIkMbibd, 6514689]
[paragraph, [225.0, 688.0, 160.0, 18.0], xayIkMbibd, 6514689]
[paragraph, [389.0, 596.0, 160.0, 18.0], 30UfpUKwNG, 6514689]
[paragraph, [389.0, 614.0, 160.0, 18.0], 30UfpUKwNG, 6514689]
[paragraph, [389.0, 632.0, 160.0, 18.0], 30UfpUKwNG, 6514689]
[paragraph, [390.0, 662.0, 159.0, 18.0], 3TChWS9VlM, 6514689]
[paragraph, [389.0, 689.0, 160.0, 18.0], 1aVp11K8N0, 6514689]
[paragraph, [59.0, 690.0, 160.0, 18.0], oiZYzZJDL6, 6514689]
