[1650, 1050]
[paragraph, [113.0, 126.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 162.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 198.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 234.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 270.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 306.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 342.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 378.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 414.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 450.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 486.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 522.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 558.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 594.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 630.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 666.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 702.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 738.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 774.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 810.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 846.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 882.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 918.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 954.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 990.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1026.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1062.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1098.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1134.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1170.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1206.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1242.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1278.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1314.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1350.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1386.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[paragraph, [113.0, 1422.0, 841.0, 36.0], shoonya_0sYDMT029ZYBCH, 5732771]
[folio, [490.0, 1519.0, 144.0, 36.0], shoonya_1sNCLYNT128UM1, 5732771]
