[842, 596]
[paragraph, [263.0, 26.0, 326.0, 18.0], RgFGnhSD0t, 5707128]
[paragraph, [263.0, 44.0, 326.0, 18.0], RgFGnhSD0t, 5707128]
[paragraph, [263.0, 62.0, 326.0, 18.0], RgFGnhSD0t, 5707128]
[folio, [43.0, 36.0, 123.0, 18.0], CfuhH1QeJU, 5707128]
[folio, [43.0, 54.0, 123.0, 18.0], CfuhH1QeJU, 5707128]
[folio, [43.0, 72.0, 123.0, 18.0], CfuhH1QeJU, 5707128]
[paragraph, [45.0, 119.0, 231.0, 18.0], EJ-5WVqCSf, 5707128]
[paragraph, [45.0, 137.0, 231.0, 18.0], EJ-5WVqCSf, 5707128]
[paragraph, [45.0, 155.0, 231.0, 18.0], EJ-5WVqCSf, 5707128]
[paragraph, [45.0, 173.0, 231.0, 18.0], EJ-5WVqCSf, 5707128]
[paragraph, [116.0, 203.0, 436.0, 18.0], RYm38t5fGR, 5707128]
[paragraph, [116.0, 221.0, 436.0, 18.0], RYm38t5fGR, 5707128]
[paragraph, [48.0, 249.0, 48.0, 18.0], Tn-F0Pju6o, 5707128]
[paragraph, [45.0, 269.0, 522.0, 18.0], Lr8Jmvf-Sm, 5707128]
[paragraph, [45.0, 287.0, 522.0, 18.0], Lr8Jmvf-Sm, 5707128]
[paragraph, [45.0, 305.0, 522.0, 18.0], Lr8Jmvf-Sm, 5707128]
[paragraph, [45.0, 323.0, 522.0, 18.0], Lr8Jmvf-Sm, 5707128]
[ordered-list, [50.0, 357.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 375.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 393.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 411.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 429.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 447.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 465.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 483.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 501.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 519.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 537.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 555.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 573.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 591.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 609.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 627.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 645.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 663.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 681.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 699.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 717.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 735.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 753.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
[ordered-list, [50.0, 771.0, 515.0, 18.0], shoonya_0sZOKTP3S17R4G, 5707128]
