[1763, 1275]
[paragraph, [47.0, 34.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 70.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 106.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 142.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 178.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 214.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 250.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 286.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 322.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 358.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 394.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 430.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 466.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 502.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 538.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 574.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 610.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 646.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [47.0, 682.0, 843.0, 36.0], shoonya_0sHPCBYXHD517Z, 5713379]
[paragraph, [58.0, 776.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 812.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 848.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 884.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 920.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 956.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 992.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1028.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1064.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1100.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1136.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1172.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1208.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1244.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1280.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1316.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1352.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1388.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1424.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1460.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1496.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1532.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1568.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
[paragraph, [58.0, 1604.0, 818.0, 36.0], shoonya_1sZM71GPO6B7O9, 5713379]
