[842, 595]
[paragraph, [53.0, 315.0, 242.0, 18.0], shoonya_0s8LZ5AUZ87RLQ, 5742342]
[paragraph, [53.0, 333.0, 242.0, 18.0], shoonya_0s8LZ5AUZ87RLQ, 5742342]
[paragraph, [53.0, 351.0, 242.0, 18.0], shoonya_0s8LZ5AUZ87RLQ, 5742342]
[paragraph, [53.0, 369.0, 242.0, 18.0], shoonya_0s8LZ5AUZ87RLQ, 5742342]
[paragraph, [53.0, 387.0, 242.0, 18.0], shoonya_0s8LZ5AUZ87RLQ, 5742342]
[paragraph, [53.0, 405.0, 242.0, 18.0], shoonya_0s8LZ5AUZ87RLQ, 5742342]
[paragraph, [53.0, 423.0, 242.0, 18.0], shoonya_0s8LZ5AUZ87RLQ, 5742342]
[paragraph, [299.0, 330.0, 242.0, 18.0], shoonya_6s1J8TVPNPQJZL, 5742342]
[paragraph, [299.0, 348.0, 242.0, 18.0], shoonya_6s1J8TVPNPQJZL, 5742342]
[paragraph, [299.0, 366.0, 242.0, 18.0], shoonya_6s1J8TVPNPQJZL, 5742342]
[paragraph, [299.0, 384.0, 242.0, 18.0], shoonya_6s1J8TVPNPQJZL, 5742342]
[paragraph, [303.0, 424.0, 242.0, 18.0], shoonya_3s0G1D0W1C1OZB, 5742342]
[paragraph, [303.0, 442.0, 242.0, 18.0], shoonya_3s0G1D0W1C1OZB, 5742342]
[paragraph, [303.0, 460.0, 242.0, 18.0], shoonya_3s0G1D0W1C1OZB, 5742342]
[paragraph, [54.0, 452.0, 240.0, 18.0], shoonya_5s1DPPK7JKD4Y2, 5742342]
[paragraph, [54.0, 470.0, 240.0, 18.0], shoonya_5s1DPPK7JKD4Y2, 5742342]
[paragraph, [58.0, 493.0, 240.0, 18.0], shoonya_4sGF0LPMF8UHEU, 5742342]
[paragraph, [301.0, 493.0, 242.0, 18.0], shoonya_7sJNNROEMKF9ZR, 5742342]
[paragraph, [301.0, 511.0, 242.0, 18.0], shoonya_7sJNNROEMKF9ZR, 5742342]
[paragraph, [53.0, 531.0, 243.0, 18.0], shoonya_2s553GGZWPNFRE, 5742342]
[paragraph, [53.0, 549.0, 243.0, 18.0], shoonya_2s553GGZWPNFRE, 5742342]
[paragraph, [53.0, 567.0, 243.0, 18.0], shoonya_2s553GGZWPNFRE, 5742342]
[paragraph, [53.0, 585.0, 243.0, 18.0], shoonya_2s553GGZWPNFRE, 5742342]
[paragraph, [53.0, 603.0, 243.0, 18.0], shoonya_2s553GGZWPNFRE, 5742342]
[paragraph, [53.0, 621.0, 243.0, 18.0], shoonya_2s553GGZWPNFRE, 5742342]
[paragraph, [301.0, 546.0, 241.0, 18.0], shoonya_9s4VGX6F967SF6, 5742342]
[paragraph, [301.0, 574.0, 241.0, 18.0], shoonya_15sCXW4VIQWOTY, 5742342]
[paragraph, [312.0, 613.0, 104.0, 18.0], shoonya_21s3O3AQE0L2VM, 5742342]
[paragraph, [312.0, 631.0, 104.0, 18.0], shoonya_21s3O3AQE0L2VM, 5742342]
[paragraph, [55.0, 641.0, 240.0, 18.0], shoonya_1sXF784JPLJQAU, 5742342]
[paragraph, [55.0, 659.0, 240.0, 18.0], shoonya_1sXF784JPLJQAU, 5742342]
[paragraph, [55.0, 677.0, 240.0, 18.0], shoonya_1sXF784JPLJQAU, 5742342]
[paragraph, [55.0, 695.0, 240.0, 18.0], shoonya_1sXF784JPLJQAU, 5742342]
[paragraph, [55.0, 713.0, 240.0, 18.0], shoonya_1sXF784JPLJQAU, 5742342]
[paragraph, [301.0, 665.0, 238.0, 18.0], shoonya_22sZAD428IXFJS, 5742342]
[paragraph, [301.0, 683.0, 238.0, 18.0], shoonya_22sZAD428IXFJS, 5742342]
[paragraph, [301.0, 701.0, 238.0, 18.0], shoonya_22sZAD428IXFJS, 5742342]
[folio, [472.0, 741.0, 68.0, 18.0], shoonya_13sTCF7CHJAZC8, 5742342]
