[1253, 919]
[chapter-title, [308.0, 48.0, 161.0, 30.0], shoonya_5sG4GAYWGUWYTD, 5776789]
[paragraph, [80.0, 85.0, 620.0, 18.0], shoonya_3sP49QZMARP5DQ, 5776789]
[paragraph, [80.0, 103.0, 620.0, 18.0], shoonya_3sP49QZMARP5DQ, 5776789]
[paragraph, [80.0, 121.0, 620.0, 18.0], shoonya_3sP49QZMARP5DQ, 5776789]
[paragraph, [80.0, 139.0, 620.0, 18.0], shoonya_3sP49QZMARP5DQ, 5776789]
[paragraph, [83.0, 148.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 166.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 184.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 202.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 220.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 238.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 256.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 274.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 292.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 310.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 328.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 346.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 364.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 382.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 400.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 418.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 436.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 454.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 472.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 490.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 508.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 526.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 544.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 562.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 580.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 598.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 616.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 634.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 652.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 670.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 688.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 706.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 724.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [83.0, 742.0, 620.0, 18.0], shoonya_2sIWLA80RHZ7CE, 5776789]
[paragraph, [89.0, 762.0, 622.0, 18.0], shoonya_1sZJU41RBFKIA1, 5776789]
[paragraph, [89.0, 780.0, 622.0, 18.0], shoonya_1sZJU41RBFKIA1, 5776789]
[paragraph, [89.0, 798.0, 622.0, 18.0], shoonya_1sZJU41RBFKIA1, 5776789]
[paragraph, [89.0, 816.0, 622.0, 18.0], shoonya_1sZJU41RBFKIA1, 5776789]
[paragraph, [89.0, 834.0, 622.0, 18.0], shoonya_1sZJU41RBFKIA1, 5776789]
[paragraph, [89.0, 852.0, 622.0, 18.0], shoonya_1sZJU41RBFKIA1, 5776789]
[paragraph, [108.0, 885.0, 483.0, 18.0], shoonya_4s4VBIOPKE9YPB, 5776789]
[paragraph, [88.0, 910.0, 625.0, 18.0], shoonya_0sLZ0HC38893FF, 5776789]
[paragraph, [88.0, 928.0, 625.0, 18.0], shoonya_0sLZ0HC38893FF, 5776789]
[paragraph, [88.0, 946.0, 625.0, 18.0], shoonya_0sLZ0HC38893FF, 5776789]
[paragraph, [88.0, 964.0, 625.0, 18.0], shoonya_0sLZ0HC38893FF, 5776789]
[paragraph, [88.0, 982.0, 625.0, 18.0], shoonya_0sLZ0HC38893FF, 5776789]
[paragraph, [88.0, 1000.0, 625.0, 18.0], shoonya_0sLZ0HC38893FF, 5776789]
[paragraph, [88.0, 1018.0, 625.0, 18.0], shoonya_0sLZ0HC38893FF, 5776789]
[paragraph, [88.0, 1036.0, 625.0, 18.0], shoonya_0sLZ0HC38893FF, 5776789]
[paragraph, [88.0, 1054.0, 625.0, 18.0], shoonya_0sLZ0HC38893FF, 5776789]
[paragraph, [88.0, 1072.0, 625.0, 18.0], shoonya_0sLZ0HC38893FF, 5776789]
