[1823, 1375]
[folio, [983.0, 97.0, 291.0, 36.0], Y-mXSu5fSg, 5683689]
[folio, [625.0, 108.0, 117.0, 36.0], shoonya_4sVB7EX38898FG, 5683689]
[paragraph, [111.0, 170.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 206.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 242.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 278.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 314.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 350.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 386.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 422.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 458.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 494.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 530.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 566.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 602.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 638.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 674.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 710.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 746.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 782.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 818.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 854.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 890.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 926.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 962.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 998.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 1034.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 1070.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 1106.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [111.0, 1142.0, 563.0, 36.0], shoonya_0sMH3UT8LXBQUB, 5683689]
[paragraph, [690.0, 171.0, 582.0, 36.0], shoonya_2s57EAM0APDHT9, 5683689]
[paragraph, [690.0, 207.0, 582.0, 36.0], shoonya_2s57EAM0APDHT9, 5683689]
[paragraph, [690.0, 243.0, 582.0, 36.0], shoonya_2s57EAM0APDHT9, 5683689]
[paragraph, [693.0, 298.0, 583.0, 36.0], HPstoec4lE, 5683689]
[paragraph, [693.0, 334.0, 583.0, 36.0], HPstoec4lE, 5683689]
[paragraph, [693.0, 370.0, 583.0, 36.0], HPstoec4lE, 5683689]
[paragraph, [693.0, 406.0, 583.0, 36.0], HPstoec4lE, 5683689]
[paragraph, [693.0, 442.0, 583.0, 36.0], HPstoec4lE, 5683689]
[paragraph, [693.0, 478.0, 583.0, 36.0], HPstoec4lE, 5683689]
[paragraph, [693.0, 514.0, 583.0, 36.0], HPstoec4lE, 5683689]
[paragraph, [693.0, 550.0, 583.0, 36.0], HPstoec4lE, 5683689]
[paragraph, [693.0, 586.0, 583.0, 36.0], HPstoec4lE, 5683689]
[unordered-list, [684.0, 624.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 660.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 696.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 732.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 768.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 804.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 840.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 876.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 912.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 948.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 984.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1020.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1056.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1092.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1128.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1164.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1200.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1236.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1272.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1308.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1344.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1380.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1416.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1452.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1488.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1524.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1560.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1596.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1632.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[unordered-list, [684.0, 1668.0, 588.0, 36.0], ngf5rrRhtv, 5683689]
[paragraph, [109.0, 1207.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1243.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1279.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1315.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1351.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1387.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1423.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1459.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1495.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1531.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1567.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1603.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1639.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
[paragraph, [109.0, 1675.0, 573.0, 36.0], shoonya_1sRCZNH3J0WNO9, 5683689]
