[1050, 693]
[folio, [79.0, 80.0, 83.0, 18.0], shoonya_0sQSBYII5FCZ0N, 5702451]
[folio, [79.0, 98.0, 83.0, 18.0], shoonya_0sQSBYII5FCZ0N, 5702451]
[paragraph, [84.0, 128.0, 519.0, 18.0], shoonya_2sCD6SOGOD4R09, 5702451]
[paragraph, [84.0, 146.0, 519.0, 18.0], shoonya_2sCD6SOGOD4R09, 5702451]
[paragraph, [84.0, 164.0, 519.0, 18.0], shoonya_2sCD6SOGOD4R09, 5702451]
[paragraph, [84.0, 182.0, 519.0, 18.0], shoonya_2sCD6SOGOD4R09, 5702451]
[paragraph, [84.0, 200.0, 519.0, 18.0], shoonya_2sCD6SOGOD4R09, 5702451]
[paragraph, [84.0, 218.0, 519.0, 18.0], shoonya_2sCD6SOGOD4R09, 5702451]
[paragraph, [84.0, 236.0, 519.0, 18.0], shoonya_2sCD6SOGOD4R09, 5702451]
[paragraph, [84.0, 254.0, 519.0, 18.0], shoonya_2sCD6SOGOD4R09, 5702451]
[paragraph, [84.0, 272.0, 519.0, 18.0], shoonya_2sCD6SOGOD4R09, 5702451]
[paragraph, [84.0, 290.0, 519.0, 18.0], shoonya_2sCD6SOGOD4R09, 5702451]
[paragraph, [83.0, 312.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 330.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 348.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 366.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 384.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 402.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 420.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 438.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 456.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 474.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 492.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 510.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [83.0, 528.0, 521.0, 18.0], MLThAHqjOW, 5702451]
[paragraph, [88.0, 571.0, 518.0, 18.0], shoonya_1sNW1ELMBLHFSJ, 5702451]
[paragraph, [88.0, 589.0, 518.0, 18.0], shoonya_1sNW1ELMBLHFSJ, 5702451]
[paragraph, [88.0, 607.0, 518.0, 18.0], shoonya_1sNW1ELMBLHFSJ, 5702451]
[paragraph, [88.0, 625.0, 518.0, 18.0], shoonya_1sNW1ELMBLHFSJ, 5702451]
[paragraph, [88.0, 643.0, 518.0, 18.0], shoonya_1sNW1ELMBLHFSJ, 5702451]
[paragraph, [88.0, 661.0, 518.0, 18.0], shoonya_1sNW1ELMBLHFSJ, 5702451]
[paragraph, [88.0, 679.0, 518.0, 18.0], shoonya_1sNW1ELMBLHFSJ, 5702451]
[paragraph, [88.0, 697.0, 518.0, 18.0], shoonya_1sNW1ELMBLHFSJ, 5702451]
[paragraph, [88.0, 715.0, 518.0, 18.0], shoonya_1sNW1ELMBLHFSJ, 5702451]
[paragraph, [88.0, 733.0, 518.0, 18.0], shoonya_1sNW1ELMBLHFSJ, 5702451]
[paragraph, [89.0, 761.0, 519.0, 18.0], shoonya_4sJI6VR09XGJAZ, 5702451]
[paragraph, [89.0, 779.0, 519.0, 18.0], shoonya_4sJI6VR09XGJAZ, 5702451]
[paragraph, [89.0, 797.0, 519.0, 18.0], shoonya_4sJI6VR09XGJAZ, 5702451]
[paragraph, [89.0, 815.0, 519.0, 18.0], shoonya_4sJI6VR09XGJAZ, 5702451]
[paragraph, [89.0, 833.0, 519.0, 18.0], shoonya_4sJI6VR09XGJAZ, 5702451]
[paragraph, [89.0, 851.0, 519.0, 18.0], shoonya_4sJI6VR09XGJAZ, 5702451]
[paragraph, [89.0, 869.0, 519.0, 18.0], shoonya_4sJI6VR09XGJAZ, 5702451]
[paragraph, [89.0, 887.0, 519.0, 18.0], shoonya_4sJI6VR09XGJAZ, 5702451]
[paragraph, [89.0, 905.0, 519.0, 18.0], shoonya_4sJI6VR09XGJAZ, 5702451]
[paragraph, [89.0, 923.0, 519.0, 18.0], shoonya_4sJI6VR09XGJAZ, 5702451]
