[2075, 1545]
[folio, [116.0, 38.0, 383.0, 36.0], rMPc-byXWh, 5712359]
[paragraph, [42.0, 109.0, 704.0, 36.0], shoonya_7sWU3FJ5IC8UP7, 5712359]
[paragraph, [42.0, 145.0, 704.0, 36.0], shoonya_7sWU3FJ5IC8UP7, 5712359]
[paragraph, [776.0, 117.0, 686.0, 36.0], shoonya_8s9HUODAW94605, 5712359]
[paragraph, [773.0, 178.0, 685.0, 36.0], shoonya_14sLD74B04207I, 5712359]
[paragraph, [773.0, 214.0, 685.0, 36.0], shoonya_14sLD74B04207I, 5712359]
[paragraph, [773.0, 250.0, 685.0, 36.0], shoonya_14sLD74B04207I, 5712359]
[paragraph, [773.0, 286.0, 685.0, 36.0], shoonya_14sLD74B04207I, 5712359]
[paragraph, [773.0, 322.0, 685.0, 36.0], shoonya_14sLD74B04207I, 5712359]
[paragraph, [773.0, 358.0, 685.0, 36.0], shoonya_14sLD74B04207I, 5712359]
[paragraph, [41.0, 215.0, 706.0, 36.0], shoonya_0sLZE9HXI4BEL8, 5712359]
[paragraph, [41.0, 251.0, 706.0, 36.0], shoonya_0sLZE9HXI4BEL8, 5712359]
[paragraph, [41.0, 287.0, 706.0, 36.0], shoonya_0sLZE9HXI4BEL8, 5712359]
[paragraph, [41.0, 323.0, 706.0, 36.0], shoonya_0sLZE9HXI4BEL8, 5712359]
[paragraph, [41.0, 359.0, 706.0, 36.0], shoonya_0sLZE9HXI4BEL8, 5712359]
[paragraph, [40.0, 420.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 456.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 492.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 528.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 564.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 600.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 636.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 672.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 708.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 744.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 780.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[paragraph, [40.0, 816.0, 703.0, 36.0], shoonya_5sNOMSXKUNL8P0, 5712359]
[author, [1163.0, 430.0, 307.0, 36.0], XutbWnRumc, 5712359]
[contact-info, [770.0, 489.0, 690.0, 36.0], shoonya_17s46LHSZMLB4E, 5712359]
[contact-info, [770.0, 525.0, 690.0, 36.0], shoonya_17s46LHSZMLB4E, 5712359]
[contact-info, [770.0, 561.0, 690.0, 36.0], shoonya_17s46LHSZMLB4E, 5712359]
[paragraph, [1041.0, 701.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [1041.0, 737.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [1041.0, 773.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [1041.0, 809.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [1041.0, 845.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [1041.0, 881.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [1041.0, 917.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [1041.0, 953.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [1041.0, 989.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [1041.0, 1025.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [1041.0, 1061.0, 418.0, 36.0], shoonya_1sX23F4FS742CX, 5712359]
[paragraph, [36.0, 860.0, 707.0, 36.0], shoonya_4s3J7C8PX5EFN6, 5712359]
[paragraph, [36.0, 896.0, 707.0, 36.0], shoonya_4s3J7C8PX5EFN6, 5712359]
[paragraph, [36.0, 932.0, 707.0, 36.0], shoonya_4s3J7C8PX5EFN6, 5712359]
[paragraph, [36.0, 968.0, 707.0, 36.0], shoonya_4s3J7C8PX5EFN6, 5712359]
[paragraph, [36.0, 1004.0, 707.0, 36.0], shoonya_4s3J7C8PX5EFN6, 5712359]
[paragraph, [37.0, 1054.0, 707.0, 36.0], shoonya_11sHPBBD1999Z2, 5712359]
[paragraph, [37.0, 1090.0, 707.0, 36.0], shoonya_11sHPBBD1999Z2, 5712359]
[paragraph, [37.0, 1126.0, 707.0, 36.0], shoonya_11sHPBBD1999Z2, 5712359]
[paragraph, [37.0, 1162.0, 707.0, 36.0], shoonya_11sHPBBD1999Z2, 5712359]
[paragraph, [37.0, 1198.0, 707.0, 36.0], shoonya_11sHPBBD1999Z2, 5712359]
[paragraph, [37.0, 1234.0, 707.0, 36.0], shoonya_11sHPBBD1999Z2, 5712359]
[paragraph, [37.0, 1270.0, 707.0, 36.0], shoonya_11sHPBBD1999Z2, 5712359]
[paragraph, [37.0, 1306.0, 707.0, 36.0], shoonya_11sHPBBD1999Z2, 5712359]
[paragraph, [37.0, 1342.0, 707.0, 36.0], shoonya_11sHPBBD1999Z2, 5712359]
[paragraph, [37.0, 1378.0, 707.0, 36.0], shoonya_11sHPBBD1999Z2, 5712359]
[paragraph, [765.0, 1120.0, 693.0, 36.0], shoonya_3sIFEVIU7KOPNW, 5712359]
[paragraph, [765.0, 1156.0, 693.0, 36.0], shoonya_3sIFEVIU7KOPNW, 5712359]
[paragraph, [765.0, 1192.0, 693.0, 36.0], shoonya_3sIFEVIU7KOPNW, 5712359]
[paragraph, [765.0, 1228.0, 693.0, 36.0], shoonya_3sIFEVIU7KOPNW, 5712359]
[paragraph, [765.0, 1264.0, 693.0, 36.0], shoonya_3sIFEVIU7KOPNW, 5712359]
[paragraph, [765.0, 1300.0, 693.0, 36.0], shoonya_3sIFEVIU7KOPNW, 5712359]
[paragraph, [765.0, 1336.0, 693.0, 36.0], shoonya_3sIFEVIU7KOPNW, 5712359]
