[1565, 1152]
[paragraph, [81.0, 128.0, 458.0, 36.0], shoonya_10sMU4XI0I4JKB, 5722828]
[paragraph, [559.0, 132.0, 480.0, 36.0], shoonya_6sKWDG472M7FT9, 5722828]
[paragraph, [559.0, 168.0, 480.0, 36.0], shoonya_6sKWDG472M7FT9, 5722828]
[paragraph, [559.0, 204.0, 480.0, 36.0], shoonya_6sKWDG472M7FT9, 5722828]
[paragraph, [559.0, 240.0, 480.0, 36.0], shoonya_6sKWDG472M7FT9, 5722828]
[paragraph, [559.0, 276.0, 480.0, 36.0], shoonya_6sKWDG472M7FT9, 5722828]
[paragraph, [559.0, 312.0, 480.0, 36.0], shoonya_6sKWDG472M7FT9, 5722828]
[paragraph, [84.0, 178.0, 455.0, 36.0], shoonya_5s9UULRZ84KGDF, 5722828]
[paragraph, [84.0, 214.0, 455.0, 36.0], shoonya_5s9UULRZ84KGDF, 5722828]
[paragraph, [84.0, 250.0, 455.0, 36.0], shoonya_5s9UULRZ84KGDF, 5722828]
[paragraph, [84.0, 286.0, 455.0, 36.0], shoonya_5s9UULRZ84KGDF, 5722828]
[paragraph, [84.0, 322.0, 455.0, 36.0], shoonya_5s9UULRZ84KGDF, 5722828]
[paragraph, [559.0, 358.0, 479.0, 36.0], shoonya_7sHH461Q5QX9V0, 5722828]
[paragraph, [559.0, 394.0, 479.0, 36.0], shoonya_7sHH461Q5QX9V0, 5722828]
[paragraph, [559.0, 430.0, 479.0, 36.0], shoonya_7sHH461Q5QX9V0, 5722828]
[paragraph, [559.0, 466.0, 479.0, 36.0], shoonya_7sHH461Q5QX9V0, 5722828]
[paragraph, [559.0, 502.0, 479.0, 36.0], shoonya_7sHH461Q5QX9V0, 5722828]
[paragraph, [83.0, 380.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 416.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 452.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 488.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 524.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 560.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 596.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 632.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 668.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 704.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 740.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 776.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [83.0, 812.0, 454.0, 36.0], shoonya_1sM1C4HAU7SL9D, 5722828]
[paragraph, [562.0, 563.0, 476.0, 36.0], shoonya_8s3ZCW8TVT9LFE, 5722828]
[paragraph, [562.0, 599.0, 476.0, 36.0], shoonya_8s3ZCW8TVT9LFE, 5722828]
[paragraph, [562.0, 635.0, 476.0, 36.0], shoonya_8s3ZCW8TVT9LFE, 5722828]
[paragraph, [562.0, 671.0, 476.0, 36.0], shoonya_8s3ZCW8TVT9LFE, 5722828]
[paragraph, [562.0, 707.0, 476.0, 36.0], shoonya_8s3ZCW8TVT9LFE, 5722828]
[paragraph, [558.0, 765.0, 477.0, 36.0], shoonya_2sTRY0F7QLVY9C, 5722828]
[paragraph, [558.0, 801.0, 477.0, 36.0], shoonya_2sTRY0F7QLVY9C, 5722828]
[paragraph, [558.0, 837.0, 477.0, 36.0], shoonya_2sTRY0F7QLVY9C, 5722828]
[paragraph, [558.0, 873.0, 477.0, 36.0], shoonya_2sTRY0F7QLVY9C, 5722828]
[paragraph, [558.0, 909.0, 477.0, 36.0], shoonya_2sTRY0F7QLVY9C, 5722828]
[paragraph, [558.0, 945.0, 477.0, 36.0], shoonya_2sTRY0F7QLVY9C, 5722828]
[paragraph, [558.0, 981.0, 477.0, 36.0], shoonya_2sTRY0F7QLVY9C, 5722828]
[paragraph, [83.0, 852.0, 454.0, 36.0], shoonya_0sCWRO2AMYNTYM, 5722828]
[paragraph, [83.0, 888.0, 454.0, 36.0], shoonya_0sCWRO2AMYNTYM, 5722828]
[paragraph, [83.0, 924.0, 454.0, 36.0], shoonya_0sCWRO2AMYNTYM, 5722828]
[paragraph, [83.0, 960.0, 454.0, 36.0], shoonya_0sCWRO2AMYNTYM, 5722828]
