[1468, 909]
[headline, [73.0, 80.0, 145.0, 25.5], m6EEV8vDtF, 5770721]
[sub-headline, [171.0, 136.0, 535.0, 25.5], shoonya_1sFE3I9TPWHEYX, 5770721]
[sub-headline, [171.0, 161.5, 535.0, 25.5], shoonya_1sFE3I9TPWHEYX, 5770721]
[sub-headline, [171.0, 187.0, 535.0, 25.5], shoonya_1sFE3I9TPWHEYX, 5770721]
[paragraph, [455.0, 272.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 290.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 308.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 326.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 344.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 362.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 380.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 398.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 416.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 434.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 452.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 470.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 488.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 506.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 524.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 542.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 560.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 578.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 596.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 614.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 632.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 650.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 668.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 686.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 704.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 722.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 740.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 758.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 776.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 794.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 812.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 830.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 848.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 866.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 884.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 902.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 920.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [455.0, 938.0, 373.0, 18.0], 2umBHsiXDm, 5770721]
[paragraph, [79.0, 278.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 296.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 314.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 332.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 350.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 368.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 386.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 404.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 422.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 440.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 458.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 476.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 494.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 512.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 530.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 548.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
[paragraph, [79.0, 566.0, 372.0, 18.0], shoonya_0sQANZ5G4ECCGG, 5770721]
