[792, 612]
[folio, [210.0, 45.0, 224.0, 18.0], A42ura5JI9, 5743823]
[paragraph, [116.0, 91.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 109.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 127.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 145.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 163.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 181.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 199.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 217.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 235.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 253.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 271.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 289.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 307.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 325.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 343.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 361.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 379.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 397.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 415.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 433.0, 412.0, 18.0], nVDHWyiQQM, 5743823]
[paragraph, [116.0, 473.0, 414.0, 18.0], FzpS9oirC8, 5743823]
[paragraph, [116.0, 491.0, 414.0, 18.0], FzpS9oirC8, 5743823]
[paragraph, [116.0, 509.0, 414.0, 18.0], FzpS9oirC8, 5743823]
[paragraph, [116.0, 527.0, 414.0, 18.0], FzpS9oirC8, 5743823]
[paragraph, [116.0, 545.0, 414.0, 18.0], FzpS9oirC8, 5743823]
[paragraph, [116.0, 563.0, 414.0, 18.0], FzpS9oirC8, 5743823]
[paragraph, [116.0, 581.0, 414.0, 18.0], FzpS9oirC8, 5743823]
[paragraph, [116.0, 599.0, 414.0, 18.0], FzpS9oirC8, 5743823]
[paragraph, [116.0, 617.0, 414.0, 18.0], FzpS9oirC8, 5743823]
[paragraph, [116.0, 635.0, 414.0, 18.0], FzpS9oirC8, 5743823]
[paragraph, [113.0, 669.0, 416.0, 18.0], AJH64vLO-E, 5743823]
[paragraph, [113.0, 687.0, 416.0, 18.0], AJH64vLO-E, 5743823]
