[612, 396]
[paragraph, [36.0, 61.0, 321.0, 18.0], 98arOz_sMS, 6516292]
[paragraph, [36.0, 79.0, 321.0, 18.0], 98arOz_sMS, 6516292]
[paragraph, [36.0, 97.0, 321.0, 18.0], 98arOz_sMS, 6516292]
[paragraph, [36.0, 115.0, 321.0, 18.0], 98arOz_sMS, 6516292]
[paragraph, [36.0, 133.0, 321.0, 18.0], 98arOz_sMS, 6516292]
[paragraph, [36.0, 151.0, 321.0, 18.0], 98arOz_sMS, 6516292]
[paragraph, [36.0, 169.0, 321.0, 18.0], 98arOz_sMS, 6516292]
[paragraph, [32.0, 199.0, 329.0, 18.0], 3d47OU4_jq, 6516292]
[paragraph, [32.0, 217.0, 329.0, 18.0], 3d47OU4_jq, 6516292]
[paragraph, [32.0, 235.0, 329.0, 18.0], 3d47OU4_jq, 6516292]
[paragraph, [32.0, 253.0, 329.0, 18.0], 3d47OU4_jq, 6516292]
[paragraph, [32.0, 271.0, 329.0, 18.0], 3d47OU4_jq, 6516292]
[paragraph, [32.0, 289.0, 329.0, 18.0], 3d47OU4_jq, 6516292]
[paragraph, [32.0, 307.0, 329.0, 18.0], 3d47OU4_jq, 6516292]
[paragraph, [32.0, 325.0, 329.0, 18.0], 3d47OU4_jq, 6516292]
[paragraph, [32.0, 343.0, 329.0, 18.0], 3d47OU4_jq, 6516292]
[paragraph, [32.0, 361.0, 329.0, 18.0], 3d47OU4_jq, 6516292]
[paragraph, [39.0, 407.0, 318.0, 18.0], shoonya_0sIWDNNJ2GOJSV, 6516292]
[paragraph, [39.0, 425.0, 318.0, 18.0], shoonya_0sIWDNNJ2GOJSV, 6516292]
[paragraph, [39.0, 443.0, 318.0, 18.0], shoonya_0sIWDNNJ2GOJSV, 6516292]
[paragraph, [39.0, 461.0, 318.0, 18.0], shoonya_0sIWDNNJ2GOJSV, 6516292]
[paragraph, [39.0, 479.0, 318.0, 18.0], shoonya_0sIWDNNJ2GOJSV, 6516292]
[paragraph, [39.0, 497.0, 318.0, 18.0], shoonya_0sIWDNNJ2GOJSV, 6516292]
[paragraph, [39.0, 515.0, 318.0, 18.0], shoonya_0sIWDNNJ2GOJSV, 6516292]
[paragraph, [39.0, 533.0, 318.0, 18.0], shoonya_0sIWDNNJ2GOJSV, 6516292]
