[1103, 748]
[section-title, [111.0, 85.0, 462.0, 30.0], Posi9GvlEb, 5781210]
[sub-section-title, [100.0, 133.0, 485.0, 25.5], shoonya_4s7YY9SU07SLZF, 5781210]
[subsub-section-title, [272.0, 174.0, 140.0, 15.0], shoonya_5sH3EGG5NRKQ47, 5781210]
[jumpline, [60.0, 216.0, 322.0, 18.0], shoonya_3s7DBR4IE5P0Y0, 5781210]
[paragraph, [58.0, 253.0, 564.0, 18.0], shoonya_1s84GFQ0LQ1ASG, 5781210]
[paragraph, [58.0, 271.0, 564.0, 18.0], shoonya_1s84GFQ0LQ1ASG, 5781210]
[paragraph, [58.0, 289.0, 564.0, 18.0], shoonya_1s84GFQ0LQ1ASG, 5781210]
[paragraph, [58.0, 307.0, 564.0, 18.0], shoonya_1s84GFQ0LQ1ASG, 5781210]
[paragraph, [58.0, 325.0, 564.0, 18.0], shoonya_1s84GFQ0LQ1ASG, 5781210]
[paragraph, [58.0, 343.0, 564.0, 18.0], shoonya_1s84GFQ0LQ1ASG, 5781210]
[paragraph, [58.0, 361.0, 564.0, 18.0], shoonya_1s84GFQ0LQ1ASG, 5781210]
[paragraph, [58.0, 379.0, 564.0, 18.0], shoonya_1s84GFQ0LQ1ASG, 5781210]
[paragraph, [58.0, 397.0, 564.0, 18.0], shoonya_1s84GFQ0LQ1ASG, 5781210]
[paragraph, [58.0, 415.0, 564.0, 18.0], shoonya_1s84GFQ0LQ1ASG, 5781210]
[subsub-section-title, [244.0, 460.0, 198.0, 15.0], Cb2OLATPXm, 5781210]
[subsub-section-title, [244.0, 475.0, 198.0, 15.0], Cb2OLATPXm, 5781210]
[paragraph, [54.0, 511.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 529.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 547.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 565.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 583.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 601.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 619.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 637.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 655.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 673.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 691.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 709.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[paragraph, [54.0, 727.0, 580.0, 18.0], shoonya_0sUGIDHN37LAIZ, 5781210]
[folio, [170.0, 937.0, 345.0, 18.0], FXPiYbOtfu, 5781210]
[folio, [170.0, 955.0, 345.0, 18.0], FXPiYbOtfu, 5781210]
[quote, [273.0, 942.0, 240.0, 18.0], JBPalFM3N4, 5781210]
