[1545, 2000]
[section-title, [1459.0, 199.0, 369.0, 49.5], SLCyiTq3_7, 6513878]
[section-title, [217.0, 212.0, 260.0, 49.5], izkclQT9_e, 6513878]
[section-title, [910.0, 214.0, 180.0, 49.5], i_Y3Jq-TJu, 6513878]
[paragraph, [777.0, 343.0, 420.0, 36.0], d4-x8OTB7T, 6513878]
[paragraph, [777.0, 379.0, 420.0, 36.0], d4-x8OTB7T, 6513878]
[paragraph, [1440.0, 345.0, 418.0, 36.0], ySJC-CpGF3, 6513878]
[paragraph, [1440.0, 381.0, 418.0, 36.0], ySJC-CpGF3, 6513878]
[paragraph, [140.0, 347.0, 414.0, 36.0], shoonya_1s5T94E5YGVX46, 6513878]
[paragraph, [140.0, 383.0, 414.0, 36.0], shoonya_1s5T94E5YGVX46, 6513878]
[paragraph, [140.0, 419.0, 414.0, 36.0], shoonya_1s5T94E5YGVX46, 6513878]
[paragraph, [140.0, 455.0, 414.0, 36.0], shoonya_1s5T94E5YGVX46, 6513878]
[paragraph, [140.0, 491.0, 414.0, 36.0], shoonya_1s5T94E5YGVX46, 6513878]
[paragraph, [140.0, 527.0, 414.0, 36.0], shoonya_1s5T94E5YGVX46, 6513878]
[unordered-list, [780.0, 582.0, 264.0, 36.0], shoonya_0s22RA1XGF5CGF, 6513878]
[unordered-list, [780.0, 618.0, 264.0, 36.0], shoonya_0s22RA1XGF5CGF, 6513878]
[unordered-list, [780.0, 654.0, 264.0, 36.0], shoonya_0s22RA1XGF5CGF, 6513878]
[unordered-list, [780.0, 690.0, 264.0, 36.0], shoonya_0s22RA1XGF5CGF, 6513878]
[unordered-list, [780.0, 726.0, 264.0, 36.0], shoonya_0s22RA1XGF5CGF, 6513878]
[unordered-list, [780.0, 762.0, 264.0, 36.0], shoonya_0s22RA1XGF5CGF, 6513878]
[unordered-list, [780.0, 798.0, 264.0, 36.0], shoonya_0s22RA1XGF5CGF, 6513878]
[contact-info, [1425.0, 589.0, 367.0, 36.0], Gprld__RdJ, 6513878]
[contact-info, [1425.0, 625.0, 367.0, 36.0], Gprld__RdJ, 6513878]
[contact-info, [1425.0, 661.0, 367.0, 36.0], Gprld__RdJ, 6513878]
[contact-info, [1425.0, 697.0, 367.0, 36.0], Gprld__RdJ, 6513878]
[contact-info, [1425.0, 733.0, 367.0, 36.0], Gprld__RdJ, 6513878]
[contact-info, [1425.0, 769.0, 367.0, 36.0], Gprld__RdJ, 6513878]
[contact-info, [1425.0, 805.0, 367.0, 36.0], Gprld__RdJ, 6513878]
[website-link, [1433.0, 663.0, 350.0, 18.0], IfMsaPUHr9, 6513878]
[website-link, [1433.0, 681.0, 350.0, 18.0], IfMsaPUHr9, 6513878]
[paragraph, [138.0, 821.0, 416.0, 36.0], W6RfeKU3WA, 6513878]
[paragraph, [138.0, 857.0, 416.0, 36.0], W6RfeKU3WA, 6513878]
[folio, [151.0, 1155.0, 429.0, 36.0], 8TkXISq2NQ, 6513878]
[folio, [151.0, 1191.0, 429.0, 36.0], 8TkXISq2NQ, 6513878]
[folio, [151.0, 1227.0, 429.0, 36.0], 8TkXISq2NQ, 6513878]
[folio, [151.0, 1263.0, 429.0, 36.0], 8TkXISq2NQ, 6513878]
[folio, [151.0, 1299.0, 429.0, 36.0], 8TkXISq2NQ, 6513878]
[folio, [151.0, 1335.0, 429.0, 36.0], 8TkXISq2NQ, 6513878]
