[1240, 1755]
[sidebar, [673.0, 140.0, 89.0, 18.0], y7r2XsiBE1, 5729336]
[sidebar, [673.0, 158.0, 89.0, 18.0], y7r2XsiBE1, 5729336]
[second-level-question, [1036.0, 144.0, 579.0, 18.0], shoonya_9sTYB997UKDI29, 5729336]
[second-level-question, [1036.0, 162.0, 579.0, 18.0], shoonya_9sTYB997UKDI29, 5729336]
[second-level-question, [1036.0, 180.0, 579.0, 18.0], shoonya_9sTYB997UKDI29, 5729336]
[second-level-question, [1036.0, 198.0, 579.0, 18.0], shoonya_9sTYB997UKDI29, 5729336]
[second-level-question, [1036.0, 216.0, 579.0, 18.0], shoonya_9sTYB997UKDI29, 5729336]
[second-level-question, [1036.0, 234.0, 579.0, 18.0], shoonya_9sTYB997UKDI29, 5729336]
[second-level-question, [184.0, 199.0, 436.0, 18.0], CAZNemrEBr, 5729336]
[second-level-question, [184.0, 217.0, 436.0, 18.0], CAZNemrEBr, 5729336]
[second-level-question, [179.0, 254.0, 208.0, 18.0], DNqOIXYefo, 5729336]
[second-level-question, [1039.0, 278.0, 583.0, 18.0], 2cINQdNjj_, 5729336]
[second-level-question, [1039.0, 296.0, 583.0, 18.0], 2cINQdNjj_, 5729336]
[second-level-question, [1039.0, 314.0, 583.0, 18.0], 2cINQdNjj_, 5729336]
[second-level-question, [1039.0, 332.0, 583.0, 18.0], 2cINQdNjj_, 5729336]
[second-level-question, [1039.0, 350.0, 583.0, 18.0], 2cINQdNjj_, 5729336]
[second-level-question, [1039.0, 368.0, 583.0, 18.0], 2cINQdNjj_, 5729336]
[second-level-question, [1039.0, 386.0, 583.0, 18.0], 2cINQdNjj_, 5729336]
[second-level-question, [1039.0, 404.0, 583.0, 18.0], 2cINQdNjj_, 5729336]
[second-level-question, [186.0, 300.0, 177.0, 18.0], yoNS7peQYm, 5729336]
[second-level-question, [186.0, 318.0, 177.0, 18.0], yoNS7peQYm, 5729336]
[third-level-question, [1079.0, 346.0, 421.0, 18.0], U1yjX3KydU, 5729336]
[second-level-question, [184.0, 351.0, 162.0, 18.0], G_gb46nzlT, 5729336]
[third-level-question, [1077.0, 381.0, 454.0, 18.0], JwLDi1fuXB, 5729336]
[third-level-question, [1077.0, 399.0, 454.0, 18.0], JwLDi1fuXB, 5729336]
[second-level-question, [186.0, 395.0, 456.0, 18.0], qzO0OEz4eb, 5729336]
[second-level-question, [186.0, 413.0, 456.0, 18.0], qzO0OEz4eb, 5729336]
[second-level-question, [1035.0, 427.0, 585.0, 18.0], 2thckrIwC7, 5729336]
[second-level-question, [1035.0, 445.0, 585.0, 18.0], 2thckrIwC7, 5729336]
[second-level-question, [1035.0, 463.0, 585.0, 18.0], 2thckrIwC7, 5729336]
[second-level-question, [1035.0, 481.0, 585.0, 18.0], 2thckrIwC7, 5729336]
[second-level-question, [1035.0, 499.0, 585.0, 18.0], 2thckrIwC7, 5729336]
[sidebar, [669.0, 500.0, 94.0, 18.0], 2njvIqr8lL, 5729336]
[second-level-question, [181.0, 538.0, 588.0, 18.0], shoonya_0s0FF6VO8CW0M1, 5729336]
[second-level-question, [181.0, 556.0, 588.0, 18.0], shoonya_0s0FF6VO8CW0M1, 5729336]
[second-level-question, [181.0, 574.0, 588.0, 18.0], shoonya_0s0FF6VO8CW0M1, 5729336]
[second-level-question, [181.0, 592.0, 588.0, 18.0], shoonya_0s0FF6VO8CW0M1, 5729336]
[second-level-question, [181.0, 610.0, 588.0, 18.0], shoonya_0s0FF6VO8CW0M1, 5729336]
[sidebar, [1511.0, 583.0, 98.0, 18.0], 8IquUfR8uA, 5729336]
[second-level-question, [1032.0, 634.0, 580.0, 18.0], shoonya_8sVLPJ0P0B6MO5, 5729336]
[second-level-question, [1032.0, 652.0, 580.0, 18.0], shoonya_8sVLPJ0P0B6MO5, 5729336]
[second-level-question, [1032.0, 670.0, 580.0, 18.0], shoonya_8sVLPJ0P0B6MO5, 5729336]
[second-level-question, [1032.0, 688.0, 580.0, 18.0], shoonya_8sVLPJ0P0B6MO5, 5729336]
[second-level-question, [1032.0, 706.0, 580.0, 18.0], shoonya_8sVLPJ0P0B6MO5, 5729336]
[second-level-question, [1032.0, 724.0, 580.0, 18.0], shoonya_8sVLPJ0P0B6MO5, 5729336]
