[1387, 987]
[section-title, [430.0, 92.0, 123.0, 30.0], nptT3hWLmQ, 5652459]
[section-title, [430.0, 122.0, 123.0, 30.0], nptT3hWLmQ, 5652459]
[paragraph, [51.0, 194.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 212.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 230.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 248.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 266.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 284.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 302.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 320.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 338.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 356.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 374.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 392.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 410.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 428.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 446.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 464.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 482.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 500.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 518.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 536.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 554.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 572.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 590.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [51.0, 608.0, 846.0, 18.0], shoonya_0sR7N7N5680IJC, 5652459]
[paragraph, [67.0, 626.0, 861.0, 18.0], 77bFRB8gps, 5652459]
