[3300, 2550]
[paragraph, [256.0, 272.0, 2016.0, 52.5], shoonya_1s2AYVQZVVMZBL, 5720713]
[paragraph, [256.0, 324.5, 2016.0, 52.5], shoonya_1s2AYVQZVVMZBL, 5720713]
[paragraph, [256.0, 377.0, 2016.0, 52.5], shoonya_1s2AYVQZVVMZBL, 5720713]
[paragraph, [274.0, 501.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 553.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 606.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 658.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 711.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 763.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 816.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 868.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 921.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 973.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1026.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1078.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1131.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1183.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1236.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1288.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1341.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1393.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1446.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1498.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1551.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1603.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1656.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1708.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1761.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1813.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1866.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1918.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 1971.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2023.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2076.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2128.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2181.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2233.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2286.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2338.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2391.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2443.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2496.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2548.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2601.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2653.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2706.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2758.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2811.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2863.5, 2010.0, 52.5], svaEXwyyUS, 5720713]
[paragraph, [274.0, 2916.0, 2010.0, 52.5], svaEXwyyUS, 5720713]
