[595, 454]
[chapter-title, [267.0, 142.0, 150.0, 30.0], 9VCc8h2fwR, 6459596]
[paragraph, [249.0, 193.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 211.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 229.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 247.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 265.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 283.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 301.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 319.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 337.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 355.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 373.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 391.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 409.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 427.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 445.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 463.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [249.0, 481.0, 197.0, 18.0], shoonya_1sYYHU7K2FPZ16, 6459596]
[paragraph, [250.0, 517.0, 168.0, 18.0], jvPgSn5UlJ, 6459596]
[figure-caption, [231.0, 543.0, 222.0, 18.0], _2CWx2Bbfk, 6459596]
[figure-caption, [231.0, 561.0, 222.0, 18.0], _2CWx2Bbfk, 6459596]
