[1162, 749]
[folio, [323.0, 75.0, 91.0, 18.0], upnsamXEiU, 5700225]
[paragraph, [86.0, 130.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 148.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 166.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 184.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 202.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 220.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 238.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 256.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 274.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 292.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 310.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 328.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[paragraph, [86.0, 346.0, 585.0, 18.0], shoonya_2s4VGVUEESQABH, 5700225]
[section-title, [108.0, 384.0, 534.0, 30.0], CQs-rl8OHu, 5700225]
[paragraph, [76.0, 430.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 448.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 466.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 484.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 502.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 520.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 538.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 556.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 574.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 592.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 610.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 628.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 646.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [76.0, 664.0, 595.0, 18.0], shoonya_1sBPZAHSNTPMCU, 5700225]
[paragraph, [79.0, 705.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 723.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 741.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 759.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 777.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 795.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 813.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 831.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 849.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 867.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 885.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 903.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 921.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 939.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 957.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 975.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 993.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 1011.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 1029.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 1047.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
[paragraph, [79.0, 1065.0, 595.0, 18.0], shoonya_0sFXSKKN24O864, 5700225]
