[2339, 1653]
[paragraph, [237.0, 208.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 244.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 280.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 316.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 352.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 388.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 424.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 460.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 496.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 532.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 568.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 604.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 640.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 676.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 712.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 748.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 784.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 820.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 856.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [237.0, 892.0, 1179.0, 36.0], shoonya_1sDSEU6DSSB7NU, 5686193]
[paragraph, [236.0, 962.0, 1171.0, 36.0], k7A1QHQDCr, 5686193]
[paragraph, [236.0, 998.0, 1171.0, 36.0], k7A1QHQDCr, 5686193]
[paragraph, [236.0, 1034.0, 1171.0, 36.0], k7A1QHQDCr, 5686193]
[ordered-list, [323.0, 1109.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1145.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1181.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1217.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1253.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1289.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1325.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1361.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1397.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1433.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1469.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[ordered-list, [323.0, 1505.0, 1087.0, 36.0], shoonya_2sYNV86XKOD2PS, 5686193]
[paragraph, [239.0, 1666.0, 1177.0, 36.0], shoonya_0sSLCIK1PDZ9AU, 5686193]
[paragraph, [239.0, 1702.0, 1177.0, 36.0], shoonya_0sSLCIK1PDZ9AU, 5686193]
[paragraph, [239.0, 1738.0, 1177.0, 36.0], shoonya_0sSLCIK1PDZ9AU, 5686193]
[paragraph, [239.0, 1774.0, 1177.0, 36.0], shoonya_0sSLCIK1PDZ9AU, 5686193]
[paragraph, [239.0, 1810.0, 1177.0, 36.0], shoonya_0sSLCIK1PDZ9AU, 5686193]
[paragraph, [239.0, 1846.0, 1177.0, 36.0], shoonya_0sSLCIK1PDZ9AU, 5686193]
[paragraph, [239.0, 1882.0, 1177.0, 36.0], shoonya_0sSLCIK1PDZ9AU, 5686193]
[paragraph, [239.0, 1918.0, 1177.0, 36.0], shoonya_0sSLCIK1PDZ9AU, 5686193]
[paragraph, [239.0, 1954.0, 1177.0, 36.0], shoonya_0sSLCIK1PDZ9AU, 5686193]
[paragraph, [239.0, 1990.0, 1177.0, 36.0], shoonya_0sSLCIK1PDZ9AU, 5686193]
