[1754, 1241]
[sidebar, [823.0, 205.0, 174.0, 36.0], ISgHad6Xbf, 5781444]
[folio, [154.0, 207.0, 207.0, 36.0], EAqEnKF5fo, 5781444]
[paragraph, [124.0, 289.0, 895.0, 36.0], RpXaFlWFDw, 5781444]
[ordered-list, [126.0, 392.0, 502.0, 36.0], i6AfNfNSnE, 5781444]
[ordered-list, [126.0, 428.0, 502.0, 36.0], i6AfNfNSnE, 5781444]
[ordered-list, [126.0, 464.0, 502.0, 36.0], i6AfNfNSnE, 5781444]
[paragraph, [138.0, 608.0, 938.0, 36.0], -NVOe2ybWv, 5781444]
[paragraph, [136.0, 708.0, 956.0, 36.0], mOMmUPGuIN, 5781444]
[paragraph, [136.0, 744.0, 956.0, 36.0], mOMmUPGuIN, 5781444]
[paragraph, [126.0, 810.0, 978.0, 36.0], PXj8fcW_Xu, 5781444]
[paragraph, [126.0, 892.0, 900.0, 36.0], kjD324d0ZK, 5781444]
[paragraph, [126.0, 928.0, 900.0, 36.0], kjD324d0ZK, 5781444]
[reference, [119.0, 1075.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1111.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1147.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1183.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1219.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1255.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1291.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1327.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1363.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1399.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1435.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
[reference, [119.0, 1471.0, 1007.0, 36.0], G6UDKz0AAZ, 5781444]
