[2342, 1656]
[section-title, [152.0, 80.0, 783.0, 52.5], shoonya_1s51EGFXUYRPIC, 5656211]
[section-title, [152.0, 132.5, 783.0, 52.5], shoonya_1s51EGFXUYRPIC, 5656211]
[ordered-list, [66.0, 374.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 410.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 446.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 482.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 518.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 554.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 590.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 626.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 662.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 698.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 734.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 770.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 806.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 842.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 878.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 914.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 950.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 986.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 1022.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
[ordered-list, [66.0, 1058.0, 1481.0, 36.0], shoonya_4sBUSJRI5GSM1C, 5656211]
