[5478, 3644]
[folio, [332.0, 456.0, 889.0, 52.5], juERtU28eF, 5710058]
[folio, [332.0, 508.5, 889.0, 52.5], juERtU28eF, 5710058]
[folio, [332.0, 561.0, 889.0, 52.5], juERtU28eF, 5710058]
[paragraph, [314.0, 641.0, 2593.0, 52.5], shoonya_0sF705L3FJ45DB, 5710058]
[paragraph, [314.0, 693.5, 2593.0, 52.5], shoonya_0sF705L3FJ45DB, 5710058]
[paragraph, [314.0, 746.0, 2593.0, 52.5], shoonya_0sF705L3FJ45DB, 5710058]
[paragraph, [314.0, 798.5, 2593.0, 52.5], shoonya_0sF705L3FJ45DB, 5710058]
[paragraph, [314.0, 851.0, 2593.0, 52.5], shoonya_0sF705L3FJ45DB, 5710058]
[paragraph, [323.0, 925.0, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 977.5, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 1030.0, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 1082.5, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 1135.0, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 1187.5, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 1240.0, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 1292.5, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 1345.0, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 1397.5, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 1450.0, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [323.0, 1502.5, 2595.0, 52.5], FkkNGiod-q, 5710058]
[paragraph, [332.0, 1587.0, 2576.0, 52.5], 411fMdl_G6, 5710058]
[paragraph, [332.0, 1639.5, 2576.0, 52.5], 411fMdl_G6, 5710058]
[paragraph, [332.0, 1692.0, 2576.0, 52.5], 411fMdl_G6, 5710058]
[paragraph, [332.0, 1744.5, 2576.0, 52.5], 411fMdl_G6, 5710058]
[paragraph, [332.0, 1797.0, 2576.0, 52.5], 411fMdl_G6, 5710058]
[paragraph, [332.0, 1849.5, 2576.0, 52.5], 411fMdl_G6, 5710058]
[paragraph, [332.0, 1902.0, 2576.0, 52.5], 411fMdl_G6, 5710058]
[paragraph, [332.0, 1954.5, 2576.0, 52.5], 411fMdl_G6, 5710058]
[paragraph, [332.0, 2007.0, 2576.0, 52.5], 411fMdl_G6, 5710058]
[paragraph, [323.0, 2093.0, 2576.0, 52.5], mQwRumlf-b, 5710058]
[paragraph, [323.0, 2145.5, 2576.0, 52.5], mQwRumlf-b, 5710058]
[paragraph, [323.0, 2198.0, 2576.0, 52.5], mQwRumlf-b, 5710058]
[paragraph, [323.0, 2250.5, 2576.0, 52.5], mQwRumlf-b, 5710058]
[paragraph, [323.0, 2303.0, 2576.0, 52.5], mQwRumlf-b, 5710058]
[paragraph, [323.0, 2355.5, 2576.0, 52.5], mQwRumlf-b, 5710058]
[paragraph, [323.0, 2408.0, 2576.0, 52.5], mQwRumlf-b, 5710058]
[paragraph, [314.0, 2503.0, 2594.0, 52.5], shoonya_1s0FQSEYW97YUU, 5710058]
[paragraph, [314.0, 2555.5, 2594.0, 52.5], shoonya_1s0FQSEYW97YUU, 5710058]
[paragraph, [314.0, 2608.0, 2594.0, 52.5], shoonya_1s0FQSEYW97YUU, 5710058]
[paragraph, [314.0, 2660.5, 2594.0, 52.5], shoonya_1s0FQSEYW97YUU, 5710058]
[paragraph, [314.0, 2713.0, 2594.0, 52.5], shoonya_1s0FQSEYW97YUU, 5710058]
[paragraph, [314.0, 2765.5, 2594.0, 52.5], shoonya_1s0FQSEYW97YUU, 5710058]
[paragraph, [314.0, 2818.0, 2594.0, 52.5], shoonya_1s0FQSEYW97YUU, 5710058]
[paragraph, [319.0, 2910.0, 2604.0, 52.5], _PzjaIlUhp, 5710058]
[paragraph, [319.0, 2962.5, 2604.0, 52.5], _PzjaIlUhp, 5710058]
[paragraph, [319.0, 3015.0, 2604.0, 52.5], _PzjaIlUhp, 5710058]
[paragraph, [319.0, 3067.5, 2604.0, 52.5], _PzjaIlUhp, 5710058]
[paragraph, [551.0, 3160.0, 1883.0, 52.5], 9nGG7V3OY8, 5710058]
[paragraph, [551.0, 3212.5, 1883.0, 52.5], 9nGG7V3OY8, 5710058]
[paragraph, [323.0, 3270.0, 2585.0, 52.5], UUWxMejFMy, 5710058]
[paragraph, [323.0, 3322.5, 2585.0, 52.5], UUWxMejFMy, 5710058]
[paragraph, [323.0, 3375.0, 2585.0, 52.5], UUWxMejFMy, 5710058]
[paragraph, [323.0, 3427.5, 2585.0, 52.5], UUWxMejFMy, 5710058]
[paragraph, [323.0, 3480.0, 2585.0, 52.5], UUWxMejFMy, 5710058]
[paragraph, [323.0, 3532.5, 2585.0, 52.5], UUWxMejFMy, 5710058]
[paragraph, [323.0, 3585.0, 2585.0, 52.5], UUWxMejFMy, 5710058]
[paragraph, [314.0, 3671.0, 2595.0, 52.5], VzrT45vJ85, 5710058]
[paragraph, [314.0, 3723.5, 2595.0, 52.5], VzrT45vJ85, 5710058]
[paragraph, [314.0, 3776.0, 2595.0, 52.5], VzrT45vJ85, 5710058]
[paragraph, [314.0, 3828.5, 2595.0, 52.5], VzrT45vJ85, 5710058]
[paragraph, [314.0, 3881.0, 2595.0, 52.5], VzrT45vJ85, 5710058]
[paragraph, [314.0, 3933.5, 2595.0, 52.5], VzrT45vJ85, 5710058]
[paragraph, [314.0, 3986.0, 2595.0, 52.5], VzrT45vJ85, 5710058]
[paragraph, [323.0, 4451.0, 2567.0, 52.5], _zukHKEsqt, 5710058]
[paragraph, [323.0, 4503.5, 2567.0, 52.5], _zukHKEsqt, 5710058]
[paragraph, [323.0, 4556.0, 2567.0, 52.5], _zukHKEsqt, 5710058]
[paragraph, [323.0, 4608.5, 2567.0, 52.5], _zukHKEsqt, 5710058]
[paragraph, [323.0, 4661.0, 2567.0, 52.5], _zukHKEsqt, 5710058]
[folio, [2777.0, 4698.0, 123.0, 52.5], 8KTGDH9k0j, 5710058]
[folio, [2777.0, 4750.5, 123.0, 52.5], 8KTGDH9k0j, 5710058]
