[2339, 1653]
[chapter-title, [549.0, 387.0, 443.0, 70.5], shoonya_14s6IHD981XBVA, 5736123]
[sidebar, [1456.0, 497.0, 139.0, 36.0], shoonya_12sUQ1KARFPKJE, 5736123]
[paragraph, [835.0, 649.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [835.0, 685.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [835.0, 721.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [835.0, 757.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [835.0, 793.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [835.0, 829.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [835.0, 865.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [835.0, 901.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [835.0, 937.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [835.0, 973.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [835.0, 1009.0, 582.0, 36.0], shoonya_1sAZCFD4X9U5D7, 5736123]
[paragraph, [231.0, 695.0, 193.0, 36.0], jfviWsCfwe, 5736123]
[paragraph, [482.0, 788.0, 333.0, 36.0], shoonya_6s54X37M61096F, 5736123]
[paragraph, [482.0, 824.0, 333.0, 36.0], shoonya_6s54X37M61096F, 5736123]
[paragraph, [482.0, 860.0, 333.0, 36.0], shoonya_6s54X37M61096F, 5736123]
[paragraph, [482.0, 896.0, 333.0, 36.0], shoonya_6s54X37M61096F, 5736123]
[paragraph, [482.0, 932.0, 333.0, 36.0], shoonya_6s54X37M61096F, 5736123]
[paragraph, [482.0, 968.0, 333.0, 36.0], shoonya_6s54X37M61096F, 5736123]
[paragraph, [482.0, 1004.0, 333.0, 36.0], shoonya_6s54X37M61096F, 5736123]
[paragraph, [482.0, 1040.0, 333.0, 36.0], shoonya_6s54X37M61096F, 5736123]
[paragraph, [482.0, 1076.0, 333.0, 36.0], shoonya_6s54X37M61096F, 5736123]
[author, [1194.0, 1054.0, 223.0, 36.0], shoonya_5sXVJKO5FNVRDS, 5736123]
[paragraph, [236.0, 1143.0, 576.0, 36.0], shoonya_11sUCJS024LEJY, 5736123]
[paragraph, [236.0, 1179.0, 576.0, 36.0], shoonya_11sUCJS024LEJY, 5736123]
[paragraph, [834.0, 1195.0, 129.0, 36.0], shoonya_15sJ5F5FQB30TE, 5736123]
[paragraph, [237.0, 1234.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1270.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1306.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1342.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1378.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1414.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1450.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1486.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1522.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1558.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1594.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1630.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1666.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1702.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [237.0, 1738.0, 579.0, 36.0], shoonya_0sS8TMSZPFFIZO, 5736123]
[paragraph, [1083.0, 1273.0, 335.0, 36.0], shoonya_13sRQM983TKWIH, 5736123]
[paragraph, [1083.0, 1309.0, 335.0, 36.0], shoonya_13sRQM983TKWIH, 5736123]
[paragraph, [1083.0, 1345.0, 335.0, 36.0], shoonya_13sRQM983TKWIH, 5736123]
