[2200, 1700]
[folio, [778.0, 401.0, 160.0, 36.0], shoonya_3sBPEPIUCJ3E4V, 5732513]
[paragraph, [460.0, 491.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 527.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 563.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 599.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 635.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 671.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 707.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 743.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 779.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 815.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 851.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 887.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [460.0, 923.0, 788.0, 36.0], shoonya_0sXLPIZXRR1368, 5732513]
[paragraph, [466.0, 980.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1016.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1052.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1088.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1124.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1160.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1196.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1232.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1268.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1304.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1340.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1376.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1412.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1448.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1484.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[paragraph, [466.0, 1520.0, 787.0, 36.0], shoonya_1sP7WPV7YX3Z56, 5732513]
[footnote, [466.0, 1610.0, 787.0, 36.0], shoonya_2sTHFQNT302H8Q, 5732513]
[footnote, [466.0, 1646.0, 787.0, 36.0], shoonya_2sTHFQNT302H8Q, 5732513]
[footnote, [466.0, 1682.0, 787.0, 36.0], shoonya_2sTHFQNT302H8Q, 5732513]
[footnote, [466.0, 1718.0, 787.0, 36.0], shoonya_2sTHFQNT302H8Q, 5732513]
[footnote, [1296.0, 2038.0, 220.0, 36.0], VT4lSCIq4P, 5732513]
[footnote, [1296.0, 2074.0, 220.0, 36.0], VT4lSCIq4P, 5732513]
[folio, [810.0, 2108.0, 171.0, 36.0], wdlQTPFlXE, 5732513]
