[595, 454]
[paragraph, [30.0, 33.0, 197.0, 18.0], shoonya_4s10DLANIGOM79, 6459351]
[paragraph, [30.0, 51.0, 197.0, 18.0], shoonya_4s10DLANIGOM79, 6459351]
[paragraph, [30.0, 69.0, 197.0, 18.0], shoonya_4s10DLANIGOM79, 6459351]
[paragraph, [30.0, 87.0, 197.0, 18.0], shoonya_4s10DLANIGOM79, 6459351]
[paragraph, [30.0, 105.0, 197.0, 18.0], shoonya_4s10DLANIGOM79, 6459351]
[paragraph, [30.0, 123.0, 197.0, 18.0], shoonya_4s10DLANIGOM79, 6459351]
[paragraph, [30.0, 141.0, 197.0, 18.0], shoonya_4s10DLANIGOM79, 6459351]
[paragraph, [30.0, 166.0, 196.0, 18.0], shoonya_0s1NLKXDV2ZPI2, 6459351]
[paragraph, [30.0, 184.0, 196.0, 18.0], shoonya_0s1NLKXDV2ZPI2, 6459351]
[paragraph, [30.0, 202.0, 196.0, 18.0], shoonya_0s1NLKXDV2ZPI2, 6459351]
[paragraph, [30.0, 220.0, 196.0, 18.0], shoonya_0s1NLKXDV2ZPI2, 6459351]
[paragraph, [30.0, 238.0, 196.0, 18.0], shoonya_0s1NLKXDV2ZPI2, 6459351]
[paragraph, [26.0, 263.0, 197.0, 18.0], shoonya_2s9WL3K1EGCMOP, 6459351]
[paragraph, [26.0, 281.0, 197.0, 18.0], shoonya_2s9WL3K1EGCMOP, 6459351]
[paragraph, [26.0, 299.0, 197.0, 18.0], shoonya_2s9WL3K1EGCMOP, 6459351]
[paragraph, [26.0, 317.0, 197.0, 18.0], shoonya_2s9WL3K1EGCMOP, 6459351]
[paragraph, [26.0, 335.0, 197.0, 18.0], shoonya_2s9WL3K1EGCMOP, 6459351]
[paragraph, [26.0, 353.0, 197.0, 18.0], shoonya_2s9WL3K1EGCMOP, 6459351]
[paragraph, [26.0, 371.0, 197.0, 18.0], shoonya_2s9WL3K1EGCMOP, 6459351]
[paragraph, [26.0, 389.0, 197.0, 18.0], shoonya_2s9WL3K1EGCMOP, 6459351]
[paragraph, [26.0, 407.0, 197.0, 18.0], shoonya_2s9WL3K1EGCMOP, 6459351]
[paragraph, [226.0, 284.0, 196.0, 18.0], shoonya_3sZNZUOBI14RRQ, 6459351]
[paragraph, [226.0, 302.0, 196.0, 18.0], shoonya_3sZNZUOBI14RRQ, 6459351]
[paragraph, [226.0, 320.0, 196.0, 18.0], shoonya_3sZNZUOBI14RRQ, 6459351]
[paragraph, [226.0, 338.0, 196.0, 18.0], shoonya_3sZNZUOBI14RRQ, 6459351]
[paragraph, [226.0, 356.0, 196.0, 18.0], shoonya_3sZNZUOBI14RRQ, 6459351]
[paragraph, [226.0, 374.0, 196.0, 18.0], shoonya_3sZNZUOBI14RRQ, 6459351]
[paragraph, [226.0, 392.0, 196.0, 18.0], shoonya_3sZNZUOBI14RRQ, 6459351]
[paragraph, [225.0, 421.0, 198.0, 18.0], shoonya_7sYHAYX16JXQP4, 6459351]
[paragraph, [225.0, 439.0, 198.0, 18.0], shoonya_7sYHAYX16JXQP4, 6459351]
[paragraph, [225.0, 457.0, 198.0, 18.0], shoonya_7sYHAYX16JXQP4, 6459351]
[paragraph, [225.0, 475.0, 198.0, 18.0], shoonya_7sYHAYX16JXQP4, 6459351]
[paragraph, [225.0, 493.0, 198.0, 18.0], shoonya_7sYHAYX16JXQP4, 6459351]
[paragraph, [225.0, 511.0, 198.0, 18.0], shoonya_7sYHAYX16JXQP4, 6459351]
[paragraph, [225.0, 529.0, 198.0, 18.0], shoonya_7sYHAYX16JXQP4, 6459351]
[paragraph, [30.0, 436.0, 192.0, 18.0], shoonya_9s6111PG6Q73K0, 6459351]
[paragraph, [30.0, 454.0, 192.0, 18.0], shoonya_9s6111PG6Q73K0, 6459351]
[paragraph, [30.0, 472.0, 192.0, 18.0], shoonya_9s6111PG6Q73K0, 6459351]
[paragraph, [30.0, 490.0, 192.0, 18.0], shoonya_9s6111PG6Q73K0, 6459351]
[paragraph, [33.0, 517.0, 190.0, 18.0], shoonya_8sJW1SSOSG8KBK, 6459351]
[paragraph, [33.0, 535.0, 190.0, 18.0], shoonya_8sJW1SSOSG8KBK, 6459351]
[footnote, [26.0, 553.0, 64.0, 18.0], shoonya_5sFNZXZNCAFV0T, 6459351]
