[1806, 1262]
[chapter-title, [352.0, 422.0, 546.0, 58.5], shoonya_3sX0D3657BVBSR, 5680483]
[author, [503.0, 541.0, 231.0, 36.0], shoonya_2s4E2Q4IREVV27, 5680483]
[paragraph, [654.0, 617.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 653.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 689.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 725.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 761.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 797.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 833.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 869.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 905.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 941.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 977.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1013.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1049.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1085.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1121.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1157.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1193.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1229.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1265.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1301.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1337.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [654.0, 1373.0, 505.0, 36.0], shoonya_1sW7RWPK1XELNA, 5680483]
[paragraph, [100.0, 622.0, 498.0, 36.0], shoonya_0s5ES4XT3S7PBG, 5680483]
[paragraph, [100.0, 658.0, 498.0, 36.0], shoonya_0s5ES4XT3S7PBG, 5680483]
[paragraph, [100.0, 694.0, 498.0, 36.0], shoonya_0s5ES4XT3S7PBG, 5680483]
[paragraph, [100.0, 730.0, 498.0, 36.0], shoonya_0s5ES4XT3S7PBG, 5680483]
[paragraph, [100.0, 766.0, 498.0, 36.0], shoonya_0s5ES4XT3S7PBG, 5680483]
