[576, 345]
[folio, [117.0, 45.0, 106.0, 18.0], MR59yi02Lv, 6458115]
[paragraph, [16.0, 67.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 85.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 103.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 121.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 139.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 157.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 175.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 193.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 211.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 229.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 247.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 265.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 283.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 301.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 319.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 337.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 355.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 373.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 391.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 409.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 427.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 445.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 463.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
[paragraph, [16.0, 481.0, 305.0, 18.0], r5NmqgUu8V, 6458115]
