[975, 571]
[paragraph, [20.0, 64.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 82.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 100.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 118.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 136.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 154.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 172.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 190.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 208.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 226.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 244.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 262.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 280.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 298.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 316.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 334.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 352.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 370.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 388.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 406.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 424.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[paragraph, [20.0, 442.0, 519.0, 18.0], shoonya_1sO4DNYRFIR5BC, 5776191]
[section-title, [110.0, 485.0, 343.0, 30.0], shoonya_3sYSO2U4R08033, 5776191]
[paragraph, [25.0, 531.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 549.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 567.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 585.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 603.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 621.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 639.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 657.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 675.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 693.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 711.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 729.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 747.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 765.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 783.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 801.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 819.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 837.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 855.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
[paragraph, [25.0, 873.0, 515.0, 18.0], shoonya_0sJ4GWYVR9GT4E, 5776191]
