[842, 595]
[folio, [211.0, 1.0, 177.0, 18.0], 4YbCPCzlt3, 5757189]
[folio, [211.0, 19.0, 177.0, 18.0], 4YbCPCzlt3, 5757189]
[ordered-list, [16.0, 77.0, 531.0, 18.0], -BY91aHI9_, 5757189]
[ordered-list, [16.0, 95.0, 531.0, 18.0], -BY91aHI9_, 5757189]
[ordered-list, [16.0, 113.0, 531.0, 18.0], -BY91aHI9_, 5757189]
[ordered-list, [16.0, 131.0, 531.0, 18.0], -BY91aHI9_, 5757189]
[ordered-list, [16.0, 149.0, 531.0, 18.0], -BY91aHI9_, 5757189]
[ordered-list, [16.0, 167.0, 531.0, 18.0], -BY91aHI9_, 5757189]
[ordered-list, [14.0, 220.0, 560.0, 18.0], KIqfRJYylw, 5757189]
[ordered-list, [14.0, 238.0, 560.0, 18.0], KIqfRJYylw, 5757189]
[ordered-list, [14.0, 256.0, 560.0, 18.0], KIqfRJYylw, 5757189]
[ordered-list, [14.0, 274.0, 560.0, 18.0], KIqfRJYylw, 5757189]
[ordered-list, [14.0, 292.0, 560.0, 18.0], KIqfRJYylw, 5757189]
[ordered-list, [14.0, 310.0, 560.0, 18.0], KIqfRJYylw, 5757189]
[ordered-list, [14.0, 328.0, 560.0, 18.0], KIqfRJYylw, 5757189]
[ordered-list, [14.0, 346.0, 560.0, 18.0], KIqfRJYylw, 5757189]
[second-level-question, [13.0, 381.0, 536.0, 18.0], DbnL6mWAnd, 5757189]
[second-level-question, [13.0, 399.0, 536.0, 18.0], DbnL6mWAnd, 5757189]
[second-level-question, [13.0, 417.0, 536.0, 18.0], DbnL6mWAnd, 5757189]
[second-level-question, [13.0, 435.0, 536.0, 18.0], DbnL6mWAnd, 5757189]
[second-level-question, [13.0, 453.0, 536.0, 18.0], DbnL6mWAnd, 5757189]
[second-level-question, [13.0, 471.0, 536.0, 18.0], DbnL6mWAnd, 5757189]
[second-level-question, [13.0, 489.0, 536.0, 18.0], DbnL6mWAnd, 5757189]
[second-level-question, [13.0, 507.0, 536.0, 18.0], DbnL6mWAnd, 5757189]
[options, [54.0, 431.0, 426.0, 18.0], shoonya_19sPD1YG6VUP51, 5757189]
[options, [54.0, 449.0, 426.0, 18.0], shoonya_19sPD1YG6VUP51, 5757189]
[options, [54.0, 467.0, 426.0, 18.0], shoonya_19sPD1YG6VUP51, 5757189]
[options, [54.0, 485.0, 426.0, 18.0], shoonya_19sPD1YG6VUP51, 5757189]
[options, [54.0, 503.0, 426.0, 18.0], shoonya_19sPD1YG6VUP51, 5757189]
[second-level-question, [17.0, 549.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 567.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 585.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 603.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 621.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 639.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 657.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 675.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 693.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 711.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 729.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 747.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 765.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[second-level-question, [17.0, 783.0, 367.0, 18.0], shoonya_6s80PFW0PA8E7H, 5757189]
[options, [51.0, 602.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
[options, [51.0, 620.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
[options, [51.0, 638.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
[options, [51.0, 656.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
[options, [51.0, 674.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
[options, [51.0, 692.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
[options, [51.0, 710.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
[options, [51.0, 728.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
[options, [51.0, 746.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
[options, [51.0, 764.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
[options, [51.0, 782.0, 278.0, 18.0], shoonya_0s2RZTQDKVB204, 5757189]
