[2339, 1656]
[paragraph, [191.0, 158.0, 1270.0, 36.0], shoonya_4s2621OOXX862Z, 5735502]
[paragraph, [191.0, 194.0, 1270.0, 36.0], shoonya_4s2621OOXX862Z, 5735502]
[paragraph, [190.0, 288.0, 1268.0, 36.0], shoonya_3s38ICKZB31Z7D, 5735502]
[paragraph, [190.0, 324.0, 1268.0, 36.0], shoonya_3s38ICKZB31Z7D, 5735502]
[paragraph, [190.0, 360.0, 1268.0, 36.0], shoonya_3s38ICKZB31Z7D, 5735502]
[paragraph, [190.0, 560.0, 1271.0, 36.0], shoonya_0sJNPSEKWUE0SN, 5735502]
[paragraph, [190.0, 596.0, 1271.0, 36.0], shoonya_0sJNPSEKWUE0SN, 5735502]
[paragraph, [190.0, 632.0, 1271.0, 36.0], shoonya_0sJNPSEKWUE0SN, 5735502]
[paragraph, [190.0, 668.0, 1271.0, 36.0], shoonya_0sJNPSEKWUE0SN, 5735502]
[paragraph, [190.0, 704.0, 1271.0, 36.0], shoonya_0sJNPSEKWUE0SN, 5735502]
[paragraph, [190.0, 740.0, 1271.0, 36.0], shoonya_0sJNPSEKWUE0SN, 5735502]
[paragraph, [190.0, 776.0, 1271.0, 36.0], shoonya_0sJNPSEKWUE0SN, 5735502]
[paragraph, [190.0, 812.0, 1271.0, 36.0], shoonya_0sJNPSEKWUE0SN, 5735502]
[paragraph, [190.0, 848.0, 1271.0, 36.0], shoonya_0sJNPSEKWUE0SN, 5735502]
[paragraph, [192.0, 951.0, 1271.0, 36.0], shoonya_1sA4VU11L6W1N2, 5735502]
[paragraph, [192.0, 987.0, 1271.0, 36.0], shoonya_1sA4VU11L6W1N2, 5735502]
[paragraph, [192.0, 1023.0, 1271.0, 36.0], shoonya_1sA4VU11L6W1N2, 5735502]
[paragraph, [192.0, 1059.0, 1271.0, 36.0], shoonya_1sA4VU11L6W1N2, 5735502]
[paragraph, [192.0, 1095.0, 1271.0, 36.0], shoonya_1sA4VU11L6W1N2, 5735502]
[paragraph, [192.0, 1131.0, 1271.0, 36.0], shoonya_1sA4VU11L6W1N2, 5735502]
[paragraph, [192.0, 1167.0, 1271.0, 36.0], shoonya_1sA4VU11L6W1N2, 5735502]
[paragraph, [192.0, 1203.0, 1271.0, 36.0], shoonya_1sA4VU11L6W1N2, 5735502]
[paragraph, [192.0, 1435.0, 1274.0, 36.0], shoonya_2sXPIB0SIZAKQN, 5735502]
[paragraph, [192.0, 1471.0, 1274.0, 36.0], shoonya_2sXPIB0SIZAKQN, 5735502]
[paragraph, [192.0, 1507.0, 1274.0, 36.0], shoonya_2sXPIB0SIZAKQN, 5735502]
[paragraph, [192.0, 1543.0, 1274.0, 36.0], shoonya_2sXPIB0SIZAKQN, 5735502]
[paragraph, [192.0, 1579.0, 1274.0, 36.0], shoonya_2sXPIB0SIZAKQN, 5735502]
[paragraph, [192.0, 1615.0, 1274.0, 36.0], shoonya_2sXPIB0SIZAKQN, 5735502]
[paragraph, [192.0, 1651.0, 1274.0, 36.0], shoonya_2sXPIB0SIZAKQN, 5735502]
[paragraph, [192.0, 1687.0, 1274.0, 36.0], shoonya_2sXPIB0SIZAKQN, 5735502]
[paragraph, [194.0, 1780.0, 1265.0, 36.0], shoonya_5s68D5J6S44CXL, 5735502]
[paragraph, [194.0, 1816.0, 1265.0, 36.0], shoonya_5s68D5J6S44CXL, 5735502]
[ordered-list, [195.0, 1909.0, 1268.0, 36.0], shoonya_8sOO4548346AVR, 5735502]
[ordered-list, [195.0, 1945.0, 1268.0, 36.0], shoonya_8sOO4548346AVR, 5735502]
[ordered-list, [195.0, 1981.0, 1268.0, 36.0], shoonya_8sOO4548346AVR, 5735502]
[ordered-list, [195.0, 2017.0, 1268.0, 36.0], shoonya_8sOO4548346AVR, 5735502]
[ordered-list, [195.0, 2053.0, 1268.0, 36.0], shoonya_8sOO4548346AVR, 5735502]
