[792, 612]
[paragraph, [113.0, 68.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 86.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 104.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 122.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 140.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 158.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 176.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 194.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 212.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 230.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 248.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 266.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 284.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 302.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 320.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 338.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 356.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [113.0, 374.0, 422.0, 18.0], shoonya_0sAGQY4N3BVUH8, 5743529]
[paragraph, [109.0, 401.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 419.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 437.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 455.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 473.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 491.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 509.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 527.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 545.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 563.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 581.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 599.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 617.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [109.0, 635.0, 425.0, 18.0], AiZ-mzw3w0, 5743529]
[paragraph, [113.0, 667.0, 417.0, 18.0], nGn43AcOHC, 5743529]
[paragraph, [113.0, 685.0, 417.0, 18.0], nGn43AcOHC, 5743529]
