[1518, 1075]
[paragraph, [92.0, 168.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 204.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 240.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 276.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 312.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 348.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 384.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 420.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 456.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 492.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 528.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 564.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 600.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 636.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 672.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 708.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 744.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 780.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [92.0, 816.0, 425.0, 36.0], shoonya_0sAEQKC27YSVP1, 5722805]
[paragraph, [534.0, 175.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [534.0, 211.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [534.0, 247.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [534.0, 283.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [534.0, 319.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [534.0, 355.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [534.0, 391.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [534.0, 427.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [534.0, 463.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [534.0, 499.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [534.0, 535.0, 426.0, 36.0], shoonya_2sTHSHZATRYKMC, 5722805]
[paragraph, [533.0, 677.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 713.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 749.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 785.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 821.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 857.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 893.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 929.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 965.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 1001.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 1037.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 1073.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 1109.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 1145.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 1181.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [533.0, 1217.0, 428.0, 36.0], shoonya_1sRU8YKP15GQFX, 5722805]
[paragraph, [90.0, 937.0, 426.0, 36.0], shoonya_3s67O8SJ2SMMIN, 5722805]
[paragraph, [90.0, 973.0, 426.0, 36.0], shoonya_3s67O8SJ2SMMIN, 5722805]
[paragraph, [90.0, 1009.0, 426.0, 36.0], shoonya_3s67O8SJ2SMMIN, 5722805]
[paragraph, [90.0, 1045.0, 426.0, 36.0], shoonya_3s67O8SJ2SMMIN, 5722805]
[paragraph, [90.0, 1081.0, 426.0, 36.0], shoonya_3s67O8SJ2SMMIN, 5722805]
[paragraph, [90.0, 1117.0, 426.0, 36.0], shoonya_3s67O8SJ2SMMIN, 5722805]
[paragraph, [90.0, 1153.0, 426.0, 36.0], shoonya_3s67O8SJ2SMMIN, 5722805]
[paragraph, [90.0, 1189.0, 426.0, 36.0], shoonya_3s67O8SJ2SMMIN, 5722805]
[paragraph, [90.0, 1225.0, 426.0, 36.0], shoonya_3s67O8SJ2SMMIN, 5722805]
[paragraph, [90.0, 1261.0, 426.0, 36.0], shoonya_3s67O8SJ2SMMIN, 5722805]
[folio, [603.0, 1390.0, 274.0, 36.0], hY54FeSUv1, 5722805]
