[2339, 1656]
[dateline, [922.0, 6.0, 345.0, 64.5], 82lKXemf99, 5656531]
[folio, [432.0, 20.0, 487.0, 36.0], iy3G8ML2_b, 5656531]
[author, [401.0, 212.0, 848.0, 36.0], shoonya_3sXKLIZPM8ALCC, 5656531]
[contact-info, [365.0, 272.0, 882.0, 36.0], rLtRHTnI-H, 5656531]
[contact-info, [365.0, 308.0, 882.0, 36.0], rLtRHTnI-H, 5656531]
[contact-info, [365.0, 344.0, 882.0, 36.0], rLtRHTnI-H, 5656531]
[section-title, [733.0, 430.0, 196.0, 52.5], mbrgyQMcE4, 5656531]
[paragraph, [76.0, 536.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [76.0, 572.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [76.0, 608.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [76.0, 644.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [76.0, 680.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [76.0, 716.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [76.0, 752.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [76.0, 788.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [76.0, 824.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [76.0, 860.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [76.0, 896.0, 1506.0, 36.0], shoonya_2sEUS3N3XT4V2W, 5656531]
[paragraph, [66.0, 938.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 974.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1010.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1046.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1082.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1118.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1154.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1190.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1226.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1262.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1298.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1334.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1370.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1406.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1442.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [66.0, 1478.0, 1516.0, 36.0], shoonya_1sPYK5O8MKC5JD, 5656531]
[paragraph, [68.0, 1523.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1559.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1595.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1631.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1667.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1703.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1739.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1775.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1811.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1847.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1883.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1919.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1955.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 1991.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 2027.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[paragraph, [68.0, 2063.0, 1515.0, 36.0], shoonya_0s7X4BEC53DCT7, 5656531]
[folio, [353.0, 2264.0, 955.0, 36.0], Rd27lduTtj, 5656531]
