[2360, 1643]
[paragraph, [325.0, 203.0, 1179.0, 36.0], shoonya_4sZU3FKGBE7O5D, 5734063]
[paragraph, [325.0, 239.0, 1179.0, 36.0], shoonya_4sZU3FKGBE7O5D, 5734063]
[paragraph, [325.0, 275.0, 1179.0, 36.0], shoonya_4sZU3FKGBE7O5D, 5734063]
[paragraph, [325.0, 311.0, 1179.0, 36.0], shoonya_4sZU3FKGBE7O5D, 5734063]
[paragraph, [325.0, 347.0, 1179.0, 36.0], shoonya_4sZU3FKGBE7O5D, 5734063]
[paragraph, [325.0, 383.0, 1179.0, 36.0], shoonya_4sZU3FKGBE7O5D, 5734063]
[paragraph, [324.0, 477.0, 1175.0, 36.0], shoonya_3sFVHIQVDRS289, 5734063]
[paragraph, [324.0, 513.0, 1175.0, 36.0], shoonya_3sFVHIQVDRS289, 5734063]
[paragraph, [324.0, 549.0, 1175.0, 36.0], shoonya_3sFVHIQVDRS289, 5734063]
[paragraph, [324.0, 585.0, 1175.0, 36.0], shoonya_3sFVHIQVDRS289, 5734063]
[paragraph, [324.0, 621.0, 1175.0, 36.0], shoonya_3sFVHIQVDRS289, 5734063]
[paragraph, [324.0, 657.0, 1175.0, 36.0], shoonya_3sFVHIQVDRS289, 5734063]
[paragraph, [317.0, 744.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 780.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 816.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 852.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 888.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 924.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 960.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 996.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 1032.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 1068.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 1104.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 1140.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 1176.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 1212.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 1248.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 1284.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 1320.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [317.0, 1356.0, 1174.0, 36.0], shoonya_0sWRRU5ZAWVVFE, 5734063]
[paragraph, [311.0, 1435.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1471.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1507.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1543.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1579.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1615.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1651.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1687.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1723.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1759.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1795.0, 1180.0, 36.0], shoonya_1s27LVXK0QQQNK, 5734063]
[paragraph, [311.0, 1878.0, 1180.0, 36.0], shoonya_5sJHKFTLRR425J, 5734063]
[paragraph, [311.0, 1914.0, 1180.0, 36.0], shoonya_5sJHKFTLRR425J, 5734063]
[paragraph, [311.0, 1950.0, 1180.0, 36.0], shoonya_5sJHKFTLRR425J, 5734063]
